A,B,C,S,y
0,2,2,3,57
0,2,2,4,55
0,2,2,5,24
0,2,2,6,18
0,2,2,7,72
0,2,2,8,18
0,2,2,9,68
0,2,2,10,59
0,2,2,11,20
0,2,3,0,38
0,2,3,1,58
0,2,3,2,21
0,2,3,3,29
0,2,3,4,3
0,2,3,5,6
0,2,3,6,52
0,2,3,7,91
0,2,3,8,57
0,2,3,9,58
0,2,3,10,89
0,2,3,11,67
0,2,4,0,30
0,2,4,1,19
0,2,4,2,5
0,2,4,3,1
0,2,4,4,62
0,2,4,5,14
0,2,4,6,45
0,2,4,7,63
0,2,4,8,77
0,2,4,9,12
0,2,4,10,55
0,2,4,11,56
1,0,0,0,55
1,0,0,1,8
1,0,0,2,10
1,0,0,3,42
1,0,0,4,65
1,0,0,5,29
1,0,0,6,21
1,0,0,7,59
1,0,0,8,72
1,0,0,9,29
1,0,0,10,42
1,0,0,11,91
1,0,1,0,59
1,0,1,1,23
1,0,1,2,28
1,0,1,3,17
1,0,1,4,4
1,0,1,5,34
1,0,1,6,7
1,0,1,7,0
1,0,1,8,61
1,0,1,9,95
1,0,1,10,31
1,0,1,11,51
1,0,2,0,11
1,0,2,1,87
1,0,2,2,14
1,0,2,3,73
1,0,2,4,30
1,0,2,5,54
1,0,2,6,62
1,0,2,7,67
1,0,2,8,62
1,0,2,9,59
1,0,2,10,9
1,0,2,11,89
1,0,3,0,52
1,0,3,1,14
1,0,3,2,99
1,0,3,3,23
1,0,3,4,71
1,0,3,5,4
1,0,3,6,88
1,0,3,7,56
1,0,3,8,44
1,0,3,9,58
1,0,3,10,93
1,0,3,11,43
1,0,4,0,3
1,0,4,1,12
1,0,4,2,86
1,0,4,3,21
1,0,4,4,49
1,0,4,5,63
1,0,4,6,14
1,0,4,7,90
1,0,4,8,18
1,0,4,9,92
1,0,4,10,53
1,0,4,11,76
1,1,0,0,21
1,1,0,1,78
1,1,0,2,15
1,1,0,3,6
1,1,0,4,20
1,1,0,5,41
1,1,0,6,25
1,1,0,7,88
1,1,0,8,57
1,1,0,9,71
1,1,0,10,94
1,1,0,11,52
1,1,1,0,45
1,1,1,1,51
1,1,1,2,30
1,1,1,3,98
1,1,1,4,18
1,1,1,5,83
1,1,1,6,55
1,1,1,7,48
1,1,1,8,78
1,1,1,9,53
1,1,1,10,73
1,1,1,11,96
1,1,2,0,60
1,1,2,1,18
1,1,2,2,70
1,1,2,3,75
1,1,2,4,89
1,1,2,5,95
1,1,2,6,20
1,1,2,7,26
1,1,2,8,47
1,1,2,9,15
1,1,2,10,93
1,1,2,11,46
1,1,3,0,5
1,1,3,1,49
1,1,3,2,55
1,1,3,3,88
1,1,3,4,36
1,1,3,5,33
1,1,3,6,67
1,1,3,7,30
1,1,3,8,12
1,1,3,9,9
1,1,3,10,61
1,1,3,11,42
1,1,4,0,87
1,1,4,1,95
1,1,4,2,86
1,1,4,3,15
1,1,4,4,90
1,1,4,5,53
1,1,4,6,54
1,1,4,7,72
1,1,4,8,20
1,1,4,9,14
1,1,4,10,80
1,1,4,11,55
1,2,0,0,18
1,2,0,1,70
1,2,0,2,54
1,2,0,3,37
1,2,0,4,93
1,2,0,5,92
1,2,0,6,0
1,2,0,7,8
1,2,0,8,21
1,2,0,9,60
1,2,0,10,0
1,2,0,11,69
1,2,1,0,77
1,2,1,1,48
1,2,1,2,33
1,2,1,3,56
1,2,1,4,89
1,2,1,5,7
1,2,1,6,19
1,2,1,7,44
1,2,1,8,89
1,2,1,9,74
1,2,1,10,39
1,2,1,11,0
1,2,2,0,81
1,2,2,1,56
1,2,2,2,54
1,2,2,3,33
1,2,2,4,86
1,2,2,5,86
1,2,2,6,5
1,2,2,7,0
1,2,2,8,68
1,2,2,9,0
1,2,2,10,34
1,2,2,11,81
1,2,3,0,31
1,2,3,1,95
1,2,3,2,56
1,2,3,3,56
1,2,3,4,32
1,2,3,5,1
1,2,3,6,99
1,2,3,7,64
1,2,3,8,38
1,2,3,9,81
1,2,3,10,87
1,2,3,11,42
1,2,4,0,73
1,2,4,1,11
1,2,4,2,7
1,2,4,3,75
1,2,4,4,70
1,2,4,5,8
1,2,4,6,92
1,2,4,7,6
1,2,4,8,63
1,2,4,9,25
1,2,4,10,58
1,2,4,11,91
