TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BGIP3;31,00;8,76;5,62;0,80;0,05;32,84;11,92;7,76;3,65;3,42;;;0,44;6,63;-0,05;;14,19;0,88;;0,06;0,94;0,11;13,57;7,30;35.289,71;38,91;5,52;4,41;625.006.353,14
BGIP4;27,01;11,05;4,89;0,69;0,04;32,84;11,92;7,76;3,18;3,42;;;0,38;5,77;-0,04;;14,19;0,88;;0,06;0,94;0,11;13,57;7,30;28.875,05;38,91;5,52;3,84;625.006.353,14
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;43,00;2,52;8,01;2,18;0,15;47,17;7,89;8,15;8,28;8,82;;;0,65;0,77;-0,19;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;6.985,08;19,74;5,37;10,36;4.803.342.918,20
BMEB4;50,45;2,36;9,40;2,56;0,18;47,17;7,89;8,15;9,71;8,82;;;0,77;0,90;-0,22;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;531.644,62;19,74;5,37;12,15;4.803.342.918,20
BMGB4;3,85;10,44;7,39;0,50;0,05;40,50;1,57;3,34;15,72;15,72;;;0,25;-0,12;-0,05;0,03;6,80;0,63;;0,09;0,91;0,19;20,01;-4,73;1.140.194,48;7,67;0,52;-0,31;2.245.444.782,35
BMIN3;22,99;1,54;12,40;0,78;0,18;25,17;27,33;16,16;7,33;7,05;;;2,00;62,11;-0,18;;6,28;1,46;;0,23;0,77;0,09;24,69;32,07;2.299,00;29,53;1,85;0,57;106.684.692,86
BMIN4;17,01;8,23;9,17;0,58;0,13;25,17;27,33;16,16;5,42;7,05;;;1,48;45,96;-0,13;;6,28;1,46;;0,23;0,77;0,09;24,69;32,07;1.813,73;29,53;1,85;0,42;106.684.692,86
BNBR3;98,56;6,06;3,59;0,66;0,13;45,86;50,57;29,88;2,12;2,12;;;1,07;2,94;-0,14;;18,25;3,64;;0,20;0,80;0,12;8,63;9,28;14.933,36;150,25;27,42;0,16;9.727.847.261,44
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;0,99;0,93;0,07;0,34;8,81;74,34;;4,34;0,52;1,98;4.212.250.617,75
BPAC11;47,34;2,23;14,39;2,72;0,28;43,02;42,32;35,02;11,91;11,91;;;5,04;-0,38;-0,28;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;209.566.059,57;17,43;3,29;0,83;181.566.572.463,84
BPAC3;26,20;1,34;23,89;4,51;0,46;43,02;42,32;35,02;19,77;11,91;;;8,37;-0,63;-0,46;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;63.375,52;5,81;1,10;1,38;181.566.572.463,84
BPAC5;10,26;3,43;9,36;1,77;0,18;43,02;42,32;35,02;7,74;11,91;;;3,28;-0,25;-0,18;0,01;18,87;1,91;;0,10;0,89;0,05;25,49;27,45;37.724,81;5,81;1,10;0,54;181.566.572.463,84
BPAN4;7,80;3,10;24,72;1,32;0,15;40,14;0,30;2,73;223,87;223,87;;;0,67;-109,78;-0,15;0,02;5,33;0,60;;0,11;0,89;0,22;10,77;-8,43;7.857.318,19;5,92;0,32;-0,72;9.898.746.702,00
BPAR3;117,42;10,42;3,81;0,50;0,06;50,96;11,97;8,37;2,66;2,66;;;0,32;4,03;-0,06;;13,14;1,51;;0,11;0,89;0,18;14,76;-1,95;0,00;234,80;30,85;-0,19;1.118.032.025,58
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BRBI11;17,70;11,69;10,29;2,30;0,12;100,00;3,91;51,30;135,14;42,34;-92,80;-1,58;5,28;2,82;-12,64;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;4.017.841,38;7,69;1,72;-4,61;1.858.423.960,80
BRBI3;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;42,34;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.858.423.960,80
BRBI4;0,00;;0,00;0,00;0,00;100,00;3,91;51,30;0,00;42,34;-92,80;-1,58;0,00;0,00;0,00;1,04;22,37;1,17;-0,24;0,05;0,95;0,02;-5,26;18,73;;2,56;0,57;0,00;1.858.423.960,80
BRGE11;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE12;13,47;;33,84;0,53;0,33;-4.115,33;-798,17;824,67;-34,96;21,81;56,17;-0,85;279,05;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE3;13,50;;33,91;0,53;0,33;-4.115,33;-798,17;824,67;-35,04;21,81;56,17;-0,85;279,67;0,87;-0,77;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,52;974.940.393,52
BRGE5;13,18;;33,11;0,52;0,32;-4.115,33;-798,17;824,67;-34,21;21,81;56,17;-0,85;273,04;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRGE6;12,92;;32,46;0,51;0,32;-4.115,33;-798,17;824,67;-33,53;21,81;56,17;-0,85;267,65;0,83;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE7;13,07;;32,83;0,51;0,32;-4.115,33;-798,17;824,67;-33,92;21,81;56,17;-0,85;270,76;0,84;-0,74;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,50;974.940.393,52
BRGE8;13,17;;33,08;0,52;0,32;-4.115,33;-798,17;824,67;-34,18;21,81;56,17;-0,85;272,83;0,85;-0,75;3,06;1,56;0,98;-2,91;0,63;0,37;0,00;-32,83;-11,18;;25,56;0,40;-0,51;974.940.393,52
BRIV3;12,86;;388,74;0,67;0,04;12,70;-0,94;0,09;-37,40;-37,03;;;0,35;2,19;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,98;1.128.165.604,64
BRIV4;12,54;;379,07;0,65;0,04;12,70;-0,94;0,09;-36,47;-37,03;;;0,34;2,14;-0,04;4,00;0,17;0,01;;0,06;0,94;0,12;29,48;-43,98;;19,32;0,03;-3,89;1.128.165.604,64
BRML3;8,26;;12,55;0,57;0,34;88,79;65,47;33,24;6,37;8,29;1,92;0,17;4,17;7,22;-0,37;2,20;4,52;2,70;6,68;0,60;0,40;0,08;4,55;-15,42;;14,57;0,66;-0,16;6.770.891.280,44
BRPR3;131,17;;-0,56;0,05;0,04;100,00;-336,36;-123,98;-0,21;0,06;0,27;-0,07;0,70;1,73;-0,05;1,12;-9,55;-6,86;-31,25;0,72;0,28;0,06;-7,12;;;2.447,95;-233,75;0,01;60.919.545,44
BRSR3;14,15;8,77;6,23;0,53;0,04;31,32;5,59;4,93;5,49;5,04;;;0,31;3,27;-0,04;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;86.594,00;26,49;2,27;-1,53;5.313.918.494,03
BRSR5;17,90;6,97;7,88;0,68;0,05;31,32;5,59;4,93;6,94;5,04;;;0,39;4,13;-0,05;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;525,00;26,49;2,27;-1,94;5.313.918.494,03
BRSR6;11,83;10,49;5,21;0,45;0,03;31,32;5,59;4,93;4,59;5,04;;;0,26;2,73;-0,03;2,06;8,58;0,59;;0,07;0,93;0,12;15,28;-6,05;7.485.779,67;26,49;2,27;-1,28;5.313.918.494,03
BSLI3;9,24;4,47;5,56;1,13;0,06;35,96;11,12;7,43;3,71;3,69;;;0,41;-2,28;-0,06;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;14.914,25;8,20;1,66;0,00;4.460.761.853,95
BSLI4;9,05;5,01;5,45;1,10;0,06;35,96;11,12;7,43;3,64;3,69;;;0,40;-2,23;-0,06;0,11;20,28;1,08;;0,05;0,95;0,15;23,49;15,97;21.494,90;8,20;1,66;0,00;4.460.761.853,95
BTTL4;11.091,73;;33.400,08;4.031,14;2.904,64;19,76;-119,83;169,30;-47.188,49;-17,99;0,86;-0,07;56.545,25;37.165,59;-3.276,80;3,21;12,07;8,70;-24,67;0,72;0,28;0,05;-44,69;-12,59;;2,75;0,33;-213,24;65.832.316,24
CCXC3;1,16;;-0,25;-0,03;2,34;;;;-3,26;-3,21;0,05;;;-0,03;;0,01;-10,66;-946,44;0,81;-88,75;89,75;0,00;;;;-43,93;-4,68;0,00;1.973.425,64
CIEL3;5,83;;12,97;1,60;0,14;41,12;18,60;11,57;8,06;12,69;4,63;0,92;1,50;1,60;-1,51;1,11;12,31;1,11;3,73;0,09;0,88;0,10;-1,94;-4,62;0,00;3,65;0,45;-0,39;15.839.031.805,63
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CORR3;2,71;;0,01;0,01;0,00;100,00;2.560,96;2.141,14;0,01;-1,26;-1,41;-2,58;0,19;0,01;-0,02;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CORR4;82,00;;0,27;0,41;0,12;100,00;2.560,96;2.141,14;0,22;-1,26;-1,41;-2,58;5,70;0,20;-0,48;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CRIV3;6,98;;35,10;0,66;0,04;20,26;0,43;0,99;81,37;80,16;;;0,35;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,75;707.929.532,00
CRIV4;6,74;;33,89;0,64;0,04;20,26;0,43;0,99;78,57;80,16;;;0,33;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,72;707.929.532,00
CSAB3;30,50;;12,39;1,11;0,57;-124,00;1.656,27;2.521,73;18,86;24,57;;;312,32;3,54;-0,71;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,02;305.164.800,00
CSAB4;48,97;;19,89;1,78;0,91;-124,00;1.656,27;2.521,73;30,28;24,57;;;501,45;5,68;-1,15;4,45;8,94;4,57;;0,51;0,49;0,00;-33,40;-1,31;;27,56;2,46;-0,03;305.164.800,00
CXSE3;14,92;7,87;10,33;3,36;3,10;;;;9,43;9,20;-0,23;-0,08;;70,23;-3,52;1,59;32,52;30,05;30,60;0,92;0,08;0,00;;23,06;41.437.959,52;4,44;1,44;0,38;44.760.000.000,00
EPAR3;4,43;41,48;13,34;1,61;1,16;19,76;-119,83;169,30;-18,85;-17,99;0,86;-0,07;22,58;14,84;-1,31;3,21;12,07;8,70;-24,67;0,72;0,28;0,05;-44,69;-12,59;27.136,81;2,75;0,33;-0,09;65.832.316,24
FICT3;3,17;;-5,82;-14,17;26,82;94,10;23,53;121,30;-29,99;-30,93;-0,94;;;-120,38;-31,69;0,41;-243,57;-460,83;1.174,00;-1,89;2,89;-3,80;;;38.232,90;-0,22;-0,54;0,03;139.043.189,85
FIGE3;11,94;;2,13;0,16;0,15;100,00;92,61;63,32;1,46;0,49;;;1,35;14.112,70;-0,15;;7,41;7,23;;0,97;0,03;0,11;6,80;11,25;0,00;75,50;5,60;0,11;9.457.960,56
FIGE4;0,00;;0,00;0,00;0,00;100,00;92,61;63,32;0,00;0,49;;;0,00;0,00;0,00;;7,41;7,23;;0,97;0,03;0,11;6,80;11,25;;75,50;5,60;0,00;9.457.960,56
FNCN3;14,25;;-0,04;0,03;0,00;-82,62;-98,66;-59,20;-0,02;-0,02;;;0,02;0,01;-0,02;1,56;-65,31;-10,62;;0,16;0,84;0,18;187,45;;;555,08;-362,52;0,00;13.021.336,50
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;1,59;;-7,16;0,24;0,23;100,00;312,74;381,68;-8,74;-10,71;-1,97;0,06;;-5,48;-0,23;0,12;-3,41;-3,20;-2,64;0,94;0,06;-0,01;;;31.177,71;6,50;-0,22;0,09;182.939.656,92
GETT11;10,00;;31,44;5,16;0,34;41,43;18,41;17,71;30,25;;0,99;0,17;5,57;13,05;-8,16;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;0,00;1,94;0,32;0,47;
GETT3;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,11;
GETT4;2,40;;7,55;1,24;0,08;41,43;18,41;17,71;7,26;;0,99;0,17;1,34;3,13;-1,96;1,03;16,41;1,07;7,88;0,07;0,93;0,06;;;;1,94;0,32;0,11;
GPIV33;4,42;;-2,31;0,23;0,12;100,00;346,80;157,05;-1,04;0,25;1,29;-0,28;;0,89;-0,15;3,34;-9,85;-5,19;-13,20;0,53;0,14;-0,03;;;308.564,00;19,47;-1,92;0,01;299.388.200,54
GSHP3;2,95;;-0,02;0,00;0,00;67,17;-47,19;-147,93;-0,06;-23,79;-23,72;;0,03;-0,11;-0,01;0,76;-20,54;-23,62;-13,47;-1,15;2,15;0,16;5,33;;2.152,00;-694,10;-142,56;0,00;5.689.868,55
HBRE3;4,08;;19,26;0,21;0,08;68,54;144,64;11,20;1,49;6,65;5,16;0,73;2,16;1,60;-0,09;1,87;1,09;0,42;5,77;0,39;0,44;0,04;19,12;-35,38;1.567.630,52;19,45;0,21;-0,24;421.011.042,48
HBTS3;0,00;;0,00;0,00;0,00;26,86;24,34;41,66;0,00;;12,17;0,35;0,00;0,00;0,00;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;;72,20;3,54;0,00;
HBTS5;32,00;;9,05;0,44;0,17;26,86;24,34;41,66;15,49;;12,17;0,35;3,77;12,04;-0,19;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;13.958,80;72,20;3,54;-0,11;
HBTS6;0,00;;0,00;0,00;0,00;26,86;24,34;41,66;0,00;;12,17;0,35;0,00;0,00;0,00;1,17;4,90;1,93;0,81;0,39;0,61;0,05;;;;72,20;3,54;0,00;
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IGBR3;175,99;;0,56;-0,34;1,04;100,00;6.032,01;5.379,32;0,50;1,06;0,56;;30,26;-0,99;-2,15;0,33;-60,10;184,10;-146,75;-3,06;4,06;0,03;-7,98;;;-520,56;312,87;0,00;220.074.791,04
IGTA3;33,00;;10,17;1,34;0,82;68,87;74,23;47,67;6,53;7,28;0,75;0,15;4,85;3,24;-1,19;5,84;13,20;8,09;11,02;0,61;0,39;0,17;7,14;11,55;;24,60;3,25;0,17;5.444.845.626,00
IGTI11;23,00;2,94;16,55;2,05;0,95;72,07;74,54;40,96;9,09;8,31;2,34;0,53;6,78;4,47;-1,34;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;34.191.001,10;11,23;1,39;0,25;6.074.507.690,00
IGTI3;2,72;3,55;5,87;0,73;0,34;72,07;74,54;40,96;3,23;8,31;2,34;0,53;2,40;1,59;-0,48;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;50.037,95;3,74;0,46;0,09;6.074.507.690,00
IGTI4;10,74;2,69;23,18;2,87;1,33;72,07;74,54;40,96;12,74;8,31;2,34;0,53;9,50;6,26;-1,88;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;0,00;3,74;0,46;0,35;6.074.507.690,00
IRBR3;46,90;;6,24;0,74;0,24;13,59;13,68;10,39;4,74;4,74;;;0,65;2,35;-0,38;1,39;11,82;3,90;;0,33;0,67;0,38;-1,73;-12,65;20.540.493,14;63,63;7,52;0,09;3.838.431.353,40
ITSA3;10,99;9,09;7,78;1,35;1,06;25,32;206,48;186,37;7,03;7,26;0,24;0,05;14,51;18,55;-1,20;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;587.091,29;8,15;1,41;0,92;120.677.664.095,23
ITSA4;10,97;9,21;7,77;1,35;1,06;25,32;206,48;186,37;7,01;7,26;0,24;0,05;14,48;18,52;-1,19;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;170.510.306,43;8,15;1,41;0,92;120.677.664.095,23
ITUB3;33,17;8,45;8,35;1,72;0,12;36,48;12,35;11,60;7,84;8,31;;;0,97;-1,47;-0,13;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;13.505.111,43;19,34;3,97;0,53;378.991.900.106,23
ITUB4;37,16;7,56;9,35;1,92;0,14;36,48;12,35;11,60;8,78;8,31;;;1,08;-1,64;-0,14;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;470.373.086,71;19,34;3,97;0,59;378.991.900.106,23
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LOGG3;21,39;10,24;5,08;0,50;0,26;97,69;232,52;161,21;3,52;7,45;3,92;0,56;8,20;3,01;-0,33;1,70;9,88;5,16;7,94;0,52;0,48;0,03;11,41;32,59;4.502.702,10;42,57;4,21;0,14;1.879.307.304,06
LPSB3;1,28;5,69;6,59;0,78;0,47;79,51;22,15;13,73;4,09;2,56;-1,53;-0,29;0,91;3,48;-0,67;1,83;11,81;7,10;12,53;0,60;0,42;0,52;5,45;;126.866,76;1,64;0,19;0,38;188.869.927,68
MAPT3;3,01;;-22,86;-0,43;3,58;;;;-23,05;-27,07;0,00;;;-276,59;-3,58;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;301,00;-7,08;-0,13;0,73;3.248.891,55
MAPT4;4,05;;-30,76;-0,57;4,81;;;;-31,01;-27,07;0,00;;;-372,15;-4,81;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;790,00;-7,08;-0,13;0,98;3.248.891,55
MERC3;14,80;;18,14;1,03;0,97;84,46;49,78;30,61;11,15;10,44;;;5,55;20,73;-1,02;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;0,00;14,40;0,82;0,11;567.825.403,90
MERC4;12,50;;15,32;0,87;0,82;84,46;49,78;30,61;9,42;10,44;;;4,69;17,51;-0,86;;5,67;5,34;;0,94;0,06;0,17;-2,99;13,21;20.748,25;14,40;0,82;0,09;567.825.403,90
MOAR3;75,00;66,93;-43,21;1,03;0,45;;;;-6,60;-3,63;2,97;-0,46;;1,04;-1,12;3,68;-2,38;-1,05;-19,70;0,44;0,56;0,00;;;44.769,15;73,01;-1,74;0,41;918.841.575,00
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;-0,63;-0,30;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;-0,69;-0,32;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;-0,61;-0,29;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MULT3;27,11;5,02;10,78;2,36;1,13;81,08;66,12;47,77;7,79;10,24;2,45;0,74;5,15;32,67;-1,33;1,31;21,85;10,48;14,52;0,48;0,52;0,22;14,28;22,33;60.944.731,62;11,51;2,51;0,68;13.911.867.934,11
NEXP3;3,38;;0,11;-0,16;0,30;45,17;91,83;70,38;0,08;0,04;-0,04;;0,07;-0,36;-0,65;0,39;-155,40;284,68;-197,02;-1,83;2,82;4,04;-3,43;;2.369,53;-20,51;31,88;0,00;8.975.823,22
PDTC3;0,96;;7,59;0,65;0,12;76,76;75,08;53,67;5,43;22,44;17,01;2,03;4,07;0,31;-0,30;2,80;8,52;1,56;3,21;0,18;0,82;0,03;;13,07;18.254,52;1,48;0,13;-0,02;76.290.840,96
PEAB3;37,28;2,18;18,01;0,78;0,55;56,77;33,27;36,01;19,50;18,29;-0,88;-0,03;6,49;3,43;-0,67;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;15.646,44;48,11;2,07;0,22;692.843.114,24
PEAB4;36,00;2,45;17,40;0,75;0,53;56,77;33,27;36,01;18,83;18,29;-0,88;-0,03;6,26;3,32;-0,65;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;12.936,25;48,11;2,07;0,21;692.843.114,24
PINE3;8,03;4,52;9,51;1,57;0,06;17,65;3,53;4,58;12,32;12,67;;;0,44;-1,36;-0,07;0,39;16,48;0,67;;0,04;0,96;0,15;25,71;;18.943,90;5,13;0,84;0,54;1.874.835.164,57
