code,parent_code,level,name
"Bovine meat, salted, dried or smoked",,1,"Bovine meat, salted, dried or smoked"
Bran of barley,,1,Bran of barley
Bran of buckwheat,,1,Bran of buckwheat
Bran of cereals n.e.c.,,1,Bran of cereals n.e.c.
Bran of Cereals nes,,1,Bran of Cereals nes
Bran of fonio,,1,Bran of fonio
Bran of maize,,1,Bran of maize
Bran of millet,,1,Bran of millet
Bran of mixed grain,,1,Bran of mixed grain
Bran of oats,,1,Bran of oats
Bran of pulses,,1,Bran of pulses
Bran of rice,,1,Bran of rice
Bran of rye,,1,Bran of rye
Bran of sorghum,,1,Bran of sorghum
Bran of triticale,,1,Bran of triticale
Bran of wheat,,1,Bran of wheat
Brazil nuts,,1,Brazil nuts
"Brazil nuts, in shell","Treenuts, Total",2,"Brazil nuts, in shell"
"Brazil nuts, shelled",,1,"Brazil nuts, shelled"
Bread,,1,Bread
Breakfast cereals,,1,Breakfast cereals
"Broad beans and horse beans, dry","Pulses, Total",2,"Broad beans and horse beans, dry"
"Broad beans and horse beans, green",Vegetables Primary,2,"Broad beans and horse beans, green"
"Broad beans, dry",,1,"Broad beans, dry"
"Broad Beans, Green",,1,"Broad Beans, Green"
Buckwheat,"Cereals, primary",2,Buckwheat
Buffalo,Cattle and Buffaloes,2,Buffalo
"Buffalo fat, unrendered",,1,"Buffalo fat, unrendered"
"Buffalo hides, fresh",,1,"Buffalo hides, fresh"
Buffalo meat,"Beef and Buffalo Meat, primary",2,Buffalo meat
Buffalos - Meat (live),,1,Buffalos - Meat (live)
Buffalos - Milk,,1,Buffalos - Milk
Bulgur,,1,Bulgur
Butter and Ghee,,1,Butter and Ghee
Butter and ghee of sheep milk,,1,Butter and ghee of sheep milk
Butter of buffalo milk,,1,Butter of buffalo milk
Butter of cow milk,,1,Butter of cow milk
Butter of goat milk,,1,Butter of goat milk
Butter of karite nuts,,1,Butter of karite nuts
"Buttermilk, curdled and acidified milk",,1,"Buttermilk, curdled and acidified milk"
"Buttermilk, Curdled Milk, Acidified Milk",,1,"Buttermilk, Curdled Milk, Acidified Milk"
"Buttermilk, dry",,1,"Buttermilk, dry"
Cabbage for fodder,,1,Cabbage for fodder
Cabbages,Vegetables Primary,2,Cabbages
Cake of  linseed,,1,Cake of  linseed
Cake of  Poppy seed,,1,Cake of  Poppy seed
Cake of  soya beans,,1,Cake of  soya beans
Cake of copra,,1,Cake of copra
Cake of cottonseed,,1,Cake of cottonseed
Cake of groundnuts,,1,Cake of groundnuts
Cake of hempseed,,1,Cake of hempseed
Cake of kapok,,1,Cake of kapok
Cake of Linseed,,1,Cake of Linseed
Cake of maize,,1,Cake of maize
Cake of mustard seed,,1,Cake of mustard seed
Cake of palm kernel,,1,Cake of palm kernel
Cake of rapeseed,,1,Cake of rapeseed
Cake of rice bran,,1,Cake of rice bran
Cake of Safflower Seed,,1,Cake of Safflower Seed
Cake of safflowerseed,,1,Cake of safflowerseed
Cake of sesame seed,,1,Cake of sesame seed
Cake of Soybeans,,1,Cake of Soybeans
Cake of sunflower seed,,1,Cake of sunflower seed
"Cake, oilseeds nes",,1,"Cake, oilseeds nes"
Camel - Milk,,1,Camel - Milk
"Camel hides, fresh",,1,"Camel hides, fresh"
Camels,,1,Camels
Canary seed,"Cereals, primary",2,Canary seed
"Cane sugar, centrifugal",,1,"Cane sugar, centrifugal"
"Cane sugar, non-centrifugal",,1,"Cane sugar, non-centrifugal"
Cane Tops,,1,Cane Tops
Canned mushrooms,,1,Canned mushrooms
Cantaloupes and other melons,Vegetables Primary,2,Cantaloupes and other melons
Carobs,,1,Carobs
Carrot,,1,Carrot
Carrots and turnips,Vegetables Primary,2,Carrots and turnips
Carrots for fodder,,1,Carrots for fodder
Casein,,1,Casein
Cashew nuts,,1,Cashew nuts
"Cashew nuts, in shell","Treenuts, Total",2,"Cashew nuts, in shell"
"Cashew nuts, shelled",,1,"Cashew nuts, shelled"
Cashewapple,Fruit Primary,2,Cashewapple
Cassava,,1,Cassava
Cassava leaves,Vegetables Primary,2,Cassava leaves
"Cassava, Dried",,1,"Cassava, Dried"
"Cassava, dry","Roots and Tubers, Total",2,"Cassava, dry"
"Cassava, fresh","Roots and Tubers, Total",2,"Cassava, fresh"
Castor Beans,,1,Castor Beans
Castor oil seeds,Oilcrops Primary,2,Castor oil seeds
"Castor oil, hydrogenated",,1,"Castor oil, hydrogenated"
Cattle,Cattle and Buffaloes,2,Cattle
Cattle - Meat (live),,1,Cattle - Meat (live)
Cattle - Milk,,1,Cattle - Milk
Cattle and Buffaloes,,1,Cattle and Buffaloes
"Cattle fat, unrendered",,1,"Cattle fat, unrendered"
"Cattle hides, fresh",,1,"Cattle hides, fresh"
"Cattle, butcher fat",,1,"Cattle, butcher fat"
Cauliflowers and broccoli,Vegetables Primary,2,Cauliflowers and broccoli
Cereal preparations,,1,Cereal preparations
Cereals n.e.c.,"Cereals, primary",2,Cereals n.e.c.
"Cereals, nes","Cereals, primary",2,"Cereals, nes"
"Cereals, primary",,1,"Cereals, primary"
Cheese (All Kinds),,1,Cheese (All Kinds)
"Cheese from milk of buffalo, fresh or processed",Cheese (All Kinds),2,"Cheese from milk of buffalo, fresh or processed"
"Cheese from milk of goats, fresh or processed",Cheese (All Kinds),2,"Cheese from milk of goats, fresh or processed"
"Cheese from milk of sheep, fresh or processed",Cheese (All Kinds),2,"Cheese from milk of sheep, fresh or processed"
Cheese from skimmed cow milk,Cheese (All Kinds),2,Cheese from skimmed cow milk
Cheese from whole cow milk,Cheese (All Kinds),2,Cheese from whole cow milk
Cheese of Buffalo Milk,Cheese (All Kinds),2,Cheese of Buffalo Milk
Cheese of Goat Milk,Cheese (All Kinds),2,Cheese of Goat Milk
Cheese of Sheep Milk,Cheese (All Kinds),2,Cheese of Sheep Milk
Cherries,Fruit Primary,2,Cherries
Chestnuts,,1,Chestnuts
"Chestnuts, in shell","Treenuts, Total",2,"Chestnuts, in shell"
"Chick peas, dry","Pulses, Total",2,"Chick peas, dry"
"Chick-peas, dry",,1,"Chick-peas, dry"
Chicken meat,,1,Chicken meat
Chickens,,1,Chickens
Chicory roots,Vegetables Primary,2,Chicory roots
Chillies and peppers (green),,1,Chillies and peppers (green)
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,1,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw"
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Vegetables Primary,2,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
Chocolate products nes,,1,Chocolate products nes
Cider and other fermented beverages,,1,Cider and other fermented beverages
"Cider, etc.",,1,"Cider, etc."
Cigarettes,,1,Cigarettes
Cigars and Cheroots,,1,Cigars and Cheroots
Cinnamon (canella),,1,Cinnamon (canella)
"Cinnamon and cinnamon-tree flowers, raw",,1,"Cinnamon and cinnamon-tree flowers, raw"
Citrus fruit nes,"Citrus Fruit, Total",2,Citrus fruit nes
"Citrus Fruit, Total",,1,"Citrus Fruit, Total"
"Citrus juice, concentrated n.e.c.",,1,"Citrus juice, concentrated n.e.c."
"Citrus Juice, Concentrated nes",,1,"Citrus Juice, Concentrated nes"
Clover for forage,,1,Clover for forage
Cloves,,1,Cloves
"Cloves (whole stems), raw",,1,"Cloves (whole stems), raw"
Coarse goat hair,,1,Coarse goat hair
Cocoa beans,,1,Cocoa beans
Cocoa Butter,,1,Cocoa Butter
"Cocoa butter, fat and oil",,1,"Cocoa butter, fat and oil"
Cocoa husks and shells,,1,Cocoa husks and shells
Cocoa Paste,,1,Cocoa Paste
Cocoa paste not defatted,,1,Cocoa paste not defatted
Cocoa powder and cake,,1,Cocoa powder and cake
Coconut oil,,1,Coconut oil
Coconuts,,1,Coconuts
"Coconuts, desiccated",,1,"Coconuts, desiccated"
"Coconuts, in shell",Oilcrops Primary,2,"Coconuts, in shell"
"Cocoons Unreelable, Waste",,1,"Cocoons Unreelable, Waste"
"Cocoons, reelable",,1,"Cocoons, reelable"
Coffee extracts,,1,Coffee extracts
Coffee green,,1,Coffee green
Coffee Husks and Skins,,1,Coffee Husks and Skins
Coffee substitutes,,1,Coffee substitutes
"Coffee, decaffeinated or roasted",,1,"Coffee, decaffeinated or roasted"
"Coffee, green",,1,"Coffee, green"
"Coffee, Roasted",,1,"Coffee, Roasted"
Coir,,1,Coir
"Coir, raw",,1,"Coir, raw"
"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",,1,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products."
Compound Feed nes,,1,Compound Feed nes
"Compound Feed, Cattle",,1,"Compound Feed, Cattle"
"Compound Feed, Pigs",,1,"Compound Feed, Pigs"
"Compound Feed, Poultry",,1,"Compound Feed, Poultry"
Copra,Oilcrops Primary,2,Copra
Cotton Lint,,1,Cotton Lint
"Cotton lint, ginned",,1,"Cotton lint, ginned"
Cotton linters,,1,Cotton linters
Cotton seed,Oilcrops Primary,2,Cotton seed
Cotton Waste,,1,Cotton Waste
"Cotton, Carded or Combed",,1,"Cotton, Carded or Combed"
Cottonseed,,1,Cottonseed
Cottonseed oil,,1,Cottonseed oil
"Cow peas, dry","Pulses, Total",2,"Cow peas, dry"
Cranberries,Fruit Primary,2,Cranberries
"Cream, fresh",,1,"Cream, fresh"
Crops,,1,Crops
Crude Organic Materials nes,,1,Crude Organic Materials nes
Cucumbers and gherkins,Vegetables Primary,2,Cucumbers and gherkins
Currants,Fruit Primary,2,Currants
Dairy products n.e.c.,,1,Dairy products n.e.c.
Dates,Fruit Primary,2,Dates
Degras,,1,Degras
Dregs,,1,Dregs
Dried mushrooms,,1,Dried mushrooms
Dry Buttermilk,,1,Dry Buttermilk
Dry Skim Cow Milk,,1,Dry Skim Cow Milk
Dry Whey,,1,Dry Whey
Dry Whole Cow Milk,,1,Dry Whole Cow Milk
Duck meat,,1,Duck meat
Ducks,,1,Ducks
"Edible offal of buffalo, fresh, chilled or frozen",,1,"Edible offal of buffalo, fresh, chilled or frozen"
"Edible offal of cattle, fresh, chilled or frozen",,1,"Edible offal of cattle, fresh, chilled or frozen"
"Edible offal of goat, fresh, chilled or frozen",,1,"Edible offal of goat, fresh, chilled or frozen"
"Edible offal of pigs, fresh, chilled or frozen",,1,"Edible offal of pigs, fresh, chilled or frozen"
"Edible offal of sheep, fresh, chilled or frozen",,1,"Edible offal of sheep, fresh, chilled or frozen"
"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",,1,"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen"
"Edible offals and liver of ducks, fresh, chilled or frozen",,1,"Edible offals and liver of ducks, fresh, chilled or frozen"
"Edible offals and liver of geese, fresh, chilled or frozen",,1,"Edible offals and liver of geese, fresh, chilled or frozen"
"Edible offals and liver of turkey, fresh, chilled or frozen",,1,"Edible offals and liver of turkey, fresh, chilled or frozen"
"Edible offals of camels and other camelids, fresh, chilled or frozen",,1,"Edible offals of camels and other camelids, fresh, chilled or frozen"
"Edible offals of horses and other equines,  fresh, chilled or frozen",,1,"Edible offals of horses and other equines,  fresh, chilled or frozen"
"Edible roots and tubers with high starch or inulin content, n.e.c., dry","Roots and Tubers, Total",2,"Edible roots and tubers with high starch or inulin content, n.e.c., dry"
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots and Tubers, Total",2,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh"
Egg albumin,,1,Egg albumin
Eggplants,,1,Eggplants
Eggplants (aubergines),Vegetables Primary,2,Eggplants (aubergines)
"Eggs from other birds in shell, fresh, n.e.c.",Eggs Primary,2,"Eggs from other birds in shell, fresh, n.e.c."
Eggs Primary,,1,Eggs Primary
"Eggs, dried",,1,"Eggs, dried"
"Eggs, excluding hen eggs",Eggs Primary,2,"Eggs, excluding hen eggs"
"Eggs, liquid",,1,"Eggs, liquid"
Essential oils nes,,1,Essential oils nes
Evaporated & Condensed Milk,,1,Evaporated & Condensed Milk
"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",,1,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates"
"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or mat�",,1,"Extracts, essences and concentrates of tea or mate, and preparations with a basis thereof or with a basis of tea or mat�"
Fat of buffalo,,1,Fat of buffalo
Fat of camels,,1,Fat of camels
Fat of cattle,,1,Fat of cattle
Fat of goats,,1,Fat of goats
Fat of other camelids,,1,Fat of other camelids
Fat of pigs,,1,Fat of pigs
Fat of poultry,,1,Fat of poultry
"Fat of Poultry, Rendered",,1,"Fat of Poultry, Rendered"
Fat of sheep,,1,Fat of sheep
Fat preparations n.e.c.,,1,Fat preparations n.e.c.
Fat Preparations nes,,1,Fat Preparations nes
Fatty Acids,,1,Fatty Acids
Fatty liver preparations,,1,Fatty liver preparations
Feed Additives,,1,Feed Additives
Feed Minerals,,1,Feed Minerals
Feed Supplements,,1,Feed Supplements
Feed Yeast,,1,Feed Yeast
Fibre crops nes,,1,Fibre crops nes
Fibre Crops Primary,,1,Fibre Crops Primary
"Fibre Crops, Fibre Equivalent",,1,"Fibre Crops, Fibre Equivalent"
Figs,Fruit Primary,2,Figs
"Figs, dried",,1,"Figs, dried"
Fine goat hair,,1,Fine goat hair
Fish and other fishing products; services incidental of fishing (05),,1,Fish and other fishing products; services incidental of fishing (05)
Fish Meal,,1,Fish Meal
Fish products,,1,Fish products
Flax fibre and tow,,1,Flax fibre and tow
Flax tow and waste,,1,Flax tow and waste
"Flax, raw or retted",,1,"Flax, raw or retted"
Flour of buckwheat,,1,Flour of buckwheat
Flour of cassava,,1,Flour of cassava
Flour of cereals n.e.c.,,1,Flour of cereals n.e.c.
Flour of Cereals nes,,1,Flour of Cereals nes
Flour of fonio,,1,Flour of fonio
Flour of fruits,,1,Flour of fruits
Flour of maize,,1,Flour of maize
Flour of millet,,1,Flour of millet
Flour of mixed grain,,1,Flour of mixed grain
Flour of mustard seed,,1,Flour of mustard seed
Flour of Oilseeds,,1,Flour of Oilseeds
Flour of Potatoes,,1,Flour of Potatoes
Flour of pulses,,1,Flour of pulses
Flour of rice,,1,Flour of rice
Flour of roots and tubers n.e.c.,,1,Flour of roots and tubers n.e.c.
Flour of Roots and Tubers nes,,1,Flour of Roots and Tubers nes
Flour of rye,,1,Flour of rye
Flour of sorghum,,1,Flour of sorghum
Flour of triticale,,1,Flour of triticale
Flour of Wheat,,1,Flour of Wheat
"Flour, meal, powder, flakes, granules and pellets of potatoes",,1,"Flour, meal, powder, flakes, granules and pellets of potatoes"
"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",,1,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard"
Fonio,"Cereals, primary",2,Fonio
Food preparations n.e.c.,,1,Food preparations n.e.c.
Food Preparations nes,,1,Food Preparations nes
"Food preparations of flour, meal or malt extract",,1,"Food preparations of flour, meal or malt extract"
"Food Waste, Prep. for Feed",,1,"Food Waste, Prep. for Feed"
Food Wastes,,1,Food Wastes
Forage Products nes,,1,Forage Products nes
Frozen Potatoes,,1,Frozen Potatoes
"Fructose, chemically pure",,1,"Fructose, chemically pure"
Fruit prepared n.e.c.,,1,Fruit prepared n.e.c.
Fruit Primary,,1,Fruit Primary
"Fruit, dried nes",,1,"Fruit, dried nes"
"Fruit, fresh nes",,1,"Fruit, fresh nes"
"Fruit, nuts, peel, sugar preserved",,1,"Fruit, nuts, peel, sugar preserved"
"Fruit, prepared nes",,1,"Fruit, prepared nes"
"Fruit, tropical (Dried) nes",,1,"Fruit, tropical (Dried) nes"
"Fruit, tropical (fresh) nes",,1,"Fruit, tropical (fresh) nes"
Fur skin,,1,Fur skin
Game meat,,1,Game meat
"Game meat, fresh, chilled or frozen",,1,"Game meat, fresh, chilled or frozen"
Garlic,,1,Garlic
Geese,,1,Geese
Germ of maize,,1,Germ of maize
Germ of wheat,,1,Germ of wheat
Ghee from buffalo milk,,1,Ghee from buffalo milk
Ghee from cow milk,,1,Ghee from cow milk
"Ghee, from Buffalo Milk",,1,"Ghee, from Buffalo Milk"
Ginger,,1,Ginger
"Ginger, raw",,1,"Ginger, raw"
Glucose and dextrose,,1,Glucose and dextrose
Gluten feed and meal,,1,Gluten feed and meal
"Goat fat, unrendered",,1,"Goat fat, unrendered"
Goat meat,,1,Goat meat
Goats,Sheep and Goats,2,Goats
Goats - Meat (live),,1,Goats - Meat (live)
Goats - Milk,,1,Goats - Milk
"Goatskins, fresh",,1,"Goatskins, fresh"
Goose meat,,1,Goose meat
Gooseberries,Fruit Primary,2,Gooseberries
Grape juice,,1,Grape juice
Grapefruit and pomelo,"Citrus Fruit, Total",2,Grapefruit and pomelo
Grapefruit juice,,1,Grapefruit juice
"Grapefruit juice, concentrated",,1,"Grapefruit juice, concentrated"
Grapes,Fruit Primary,2,Grapes
Grasses nes for forage,,1,Grasses nes for forage
Green corn (maize),Vegetables Primary,2,Green corn (maize)
Green garlic,Vegetables Primary,2,Green garlic
Green oilseeds for silage,,1,Green oilseeds for silage
"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",,1,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
Groundnut oil,,1,Groundnut oil
"Groundnuts, excluding shelled",Oilcrops Primary,2,"Groundnuts, excluding shelled"
"Groundnuts, in shell",,1,"Groundnuts, in shell"
"Groundnuts, shelled",,1,"Groundnuts, shelled"
Hair of horses,,1,Hair of horses
"Hair, Carded, Combed",,1,"Hair, Carded, Combed"
"Hair, coarse nes",,1,"Hair, coarse nes"
"Hair, fine",,1,"Hair, fine"
"Hay (Clover, Lucerne, etc.)",,1,"Hay (Clover, Lucerne, etc.)"
Hay nes (from unspec. plants),,1,Hay nes (from unspec. plants)
"Hay, non leguminous (from grasses)",,1,"Hay, non leguminous (from grasses)"
Hazelnuts (Filberts),,1,Hazelnuts (Filberts)
"Hazelnuts, in shell","Treenuts, Total",2,"Hazelnuts, in shell"
"Hazelnuts, shelled",,1,"Hazelnuts, shelled"
Hemp fibre and tow,,1,Hemp fibre and tow
Hempseed,Oilcrops Primary,2,Hempseed
Hen eggs,Eggs Primary,2,Hen eggs
"Hen eggs in shell, fresh",Eggs Primary,2,"Hen eggs in shell, fresh"
"Hides and skins nes, fresh",,1,"Hides and skins nes, fresh"
Hides nes,,1,Hides nes
"Hides nes, Camels",,1,"Hides nes, Camels"
"Hides nes, Cattle",,1,"Hides nes, Cattle"
"Hides nes, Horses",,1,"Hides nes, Horses"
"Hides of asses, fresh",,1,"Hides of asses, fresh"
"Hides of mules, fresh",,1,"Hides of mules, fresh"
"Hides, Dry-Salted (Buffalo)",,1,"Hides, Dry-Salted (Buffalo)"
"Hides, Dry-Salted (Camels)",,1,"Hides, Dry-Salted (Camels)"
"Hides, Dry-Salted (Cattle)",,1,"Hides, Dry-Salted (Cattle)"
"Hides, Dry-Salted (Horses)",,1,"Hides, Dry-Salted (Horses)"
"Hides, Dry-Salted nes",,1,"Hides, Dry-Salted nes"
"Hides, Wet-Salted (Buffalo)",,1,"Hides, Wet-Salted (Buffalo)"
"Hides, Wet-Salted (Camels)",,1,"Hides, Wet-Salted (Camels)"
"Hides, Wet-Salted (Cattle)",,1,"Hides, Wet-Salted (Cattle)"
"Hides, Wet-Salted (Horses)",,1,"Hides, Wet-Salted (Horses)"
"Hides, Wet-Salted nes",,1,"Hides, Wet-Salted nes"
"Homogenized cooked fruit, prepared",,1,"Homogenized cooked fruit, prepared"
Homogenized meat preparations,,1,Homogenized meat preparations
Homogenized vegetable preparations,,1,Homogenized vegetable preparations
Honey,,1,Honey
Hop cones,,1,Hop cones
Hops,,1,Hops
"Horse hides, fresh",,1,"Horse hides, fresh"
Horse meat,,1,Horse meat
"Horse meat, fresh or chilled",,1,"Horse meat, fresh or chilled"
Horses,,1,Horses
Husked rice,,1,Husked rice
hydrogenated oils and fats,,1,hydrogenated oils and fats
Ice Cream and Edible Ice,,1,Ice Cream and Edible Ice
Ice cream and other edible ice,,1,Ice cream and other edible ice
Industrial monocarboxylic fatty acids; acid oils from refining,,1,Industrial monocarboxylic fatty acids; acid oils from refining
Infant food,,1,Infant food
Isoglucose,,1,Isoglucose
Jojoba oil,,1,Jojoba oil
Jojoba seeds,Oilcrops Primary,2,Jojoba seeds
Juice of citrus fruit n.e.c.,,1,Juice of citrus fruit n.e.c.
Juice of Citrus Fruit nes,,1,Juice of Citrus Fruit nes
Juice of fruits n.e.c.,,1,Juice of fruits n.e.c.
Juice of fruits nes,,1,Juice of fruits nes
Juice of Grape,,1,Juice of Grape
Juice of Grapefruit,,1,Juice of Grapefruit
Juice of lemon,,1,Juice of lemon
Juice of mango,,1,Juice of mango
Juice of Orange,,1,Juice of Orange
Juice of Pineapples,,1,Juice of Pineapples
"Juice of pineapples, concentrated",,1,"Juice of pineapples, concentrated"
Juice of plum,,1,Juice of plum
"Juice of plum, concentrated",,1,"Juice of plum, concentrated"
Juice of tangerine,,1,Juice of tangerine
"Juice of Tangerine, Mandarin and Clementin",,1,"Juice of Tangerine, Mandarin and Clementin"
Juice of Tomatoes,,1,Juice of Tomatoes
Juice of Vegetables nes,,1,Juice of Vegetables nes
Jute,,1,Jute
Jute-like fibres,,1,Jute-like fibres
"Jute, raw or retted",,1,"Jute, raw or retted"
"Kapok fibre, raw",,1,"Kapok fibre, raw"
Kapok fruit,Oilcrops Primary,2,Kapok fruit
Kapokseed in shell,Oilcrops Primary,2,Kapokseed in shell
"Kapokseed, shelled",Oilcrops Primary,2,"Kapokseed, shelled"
Karakul skins,,1,Karakul skins
Karite nuts (sheanuts),Oilcrops Primary,2,Karite nuts (sheanuts)
"Kenaf, and other textile bast fibres, raw or retted",,1,"Kenaf, and other textile bast fibres, raw or retted"
Kiwi fruit,Fruit Primary,2,Kiwi fruit
Kola nuts,"Treenuts, Total",2,Kola nuts
Kolanuts,,1,Kolanuts
Lactose,,1,Lactose
Lard,,1,Lard
Lard stearine and lard oil,,1,Lard stearine and lard oil
"Leather, used and waste",,1,"Leather, used and waste"
"Leaves, Tops and Vines nes",,1,"Leaves, Tops and Vines nes"
Leeks and other alliaceous vegetables,Vegetables Primary,2,Leeks and other alliaceous vegetables
Legumes for silage,,1,Legumes for silage
"Lemon juice, concentrated",,1,"Lemon juice, concentrated"
Lemons and limes,"Citrus Fruit, Total",3,Lemons and limes
"Lentils, dry","Pulses, Total",2,"Lentils, dry"
Lettuce and chicory,Vegetables Primary,2,Lettuce and chicory
Linseed,Oilcrops Primary,2,Linseed
Liquid margarine,,1,Liquid margarine
Live animals nes,,1,Live animals nes
Live animals. non food nes,,1,Live animals. non food nes
Liver preparations,,1,Liver preparations
Livestock,,1,Livestock
Locust beans (carobs),Vegetables Primary,2,Locust beans (carobs)
Lupins,"Pulses, Total",2,Lupins
Macaroni,,1,Macaroni
Maize,,1,Maize
Maize (corn),"Cereals, primary",2,Maize (corn)
Maize for forage,,1,Maize for forage
Maize gluten,,1,Maize gluten
Malt,,1,Malt
Malt extract,,1,Malt extract
"Malt, whether or not roasted",,1,"Malt, whether or not roasted"
"Maltose, chemically pure",,1,"Maltose, chemically pure"
Mango pulp,,1,Mango pulp
Mangoes,,1,Mangoes
"Mangoes, guavas and mangosteens",Fruit Primary,2,"Mangoes, guavas and mangosteens"
Maple Sugar and Syrups,,1,Maple Sugar and Syrups
Marc of grape,,1,Marc of grape
Margarine and shortening,,1,Margarine and shortening
Mate,,1,Mate
Maté leaves,,1,Maté leaves
Meat Extracts,,1,Meat Extracts
"Meat indigenous, total",,1,"Meat indigenous, total"
Meat Meal,,1,Meat Meal
Meat nes,,1,Meat nes
Meat of asses,,1,Meat of asses
"Meat of asses, fresh or chilled",,1,"Meat of asses, fresh or chilled"
"Meat of buffalo, fresh or chilled",,1,"Meat of buffalo, fresh or chilled"
Meat of camels,,1,Meat of camels
"Meat of camels, fresh or chilled",,1,"Meat of camels, fresh or chilled"
Meat of cattle,,1,Meat of cattle
"Meat of cattle boneless, fresh or chilled",,1,"Meat of cattle boneless, fresh or chilled"
"Meat of cattle with the bone, fresh or chilled",,1,"Meat of cattle with the bone, fresh or chilled"
"Meat of cattle, boneless",,1,"Meat of cattle, boneless"
"Meat of chickens, fresh or chilled","Meat, Poultry",2,"Meat of chickens, fresh or chilled"
"Meat of ducks, fresh or chilled","Meat, Poultry",2,"Meat of ducks, fresh or chilled"
"Meat of geese, fresh or chilled","Meat, Poultry",2,"Meat of geese, fresh or chilled"
