deme	date	osi
France	2020-01-25	5.56
France	2020-01-26	5.56
France	2020-01-27	5.56
France	2020-01-28	5.56
France	2020-01-29	5.56
France	2020-01-30	5.56
France	2020-01-31	5.56
France	2020-02-01	5.56
France	2020-02-02	5.56
France	2020-02-03	5.56
France	2020-02-04	5.56
France	2020-02-05	5.56
France	2020-02-06	5.56
France	2020-02-07	5.56
France	2020-02-08	5.56
France	2020-02-09	5.56
France	2020-02-10	5.56
France	2020-02-11	5.56
France	2020-02-12	5.56
France	2020-02-13	5.56
France	2020-02-14	5.56
France	2020-02-15	5.56
France	2020-02-16	5.56
France	2020-02-17	5.56
France	2020-02-18	5.56
France	2020-02-19	5.56
France	2020-02-20	5.56
France	2020-02-21	5.56
France	2020-02-22	5.56
France	2020-02-23	5.56
France	2020-02-24	5.56
France	2020-02-25	13.89
France	2020-02-26	13.89
France	2020-02-27	13.89
France	2020-02-28	13.89
France	2020-02-29	34.72
France	2020-03-01	34.72
France	2020-03-02	43.98
France	2020-03-03	43.98
France	2020-03-04	43.98
France	2020-03-05	43.98
France	2020-03-06	43.98
France	2020-03-07	43.98
France	2020-03-08	43.98
France	2020-03-09	43.98
France	2020-03-10	43.98
France	2020-03-11	43.98
France	2020-03-12	43.98
France	2020-03-13	43.98
France	2020-03-14	49.54
France	2020-03-15	49.54
Germany	2020-01-01	0
Germany	2020-01-02	0
Germany	2020-01-03	0
Germany	2020-01-04	0
Germany	2020-01-05	0
Germany	2020-01-06	0
Germany	2020-01-07	0
Germany	2020-01-08	0
Germany	2020-01-09	0
Germany	2020-01-10	0
Germany	2020-01-11	0
Germany	2020-01-12	0
Germany	2020-01-13	0
Germany	2020-01-14	0
Germany	2020-01-15	0
Germany	2020-01-16	0
Germany	2020-01-17	0
Germany	2020-01-18	0
Germany	2020-01-19	0
Germany	2020-01-20	0
Germany	2020-01-21	0
Germany	2020-01-22	0
Germany	2020-01-23	0
Germany	2020-01-24	5.56
Germany	2020-01-25	5.56
Germany	2020-01-26	5.56
Germany	2020-01-27	5.56
Germany	2020-01-28	5.56
Germany	2020-01-29	5.56
Germany	2020-01-30	5.56
Germany	2020-01-31	5.56
Germany	2020-02-01	5.56
Germany	2020-02-02	5.56
Germany	2020-02-03	5.56
Germany	2020-02-04	5.56
Germany	2020-02-05	5.56
Germany	2020-02-06	5.56
Germany	2020-02-07	5.56
Germany	2020-02-08	5.56
Germany	2020-02-09	5.56
Germany	2020-02-10	5.56
Germany	2020-02-11	5.56
Germany	2020-02-12	11.11
Germany	2020-02-13	11.11
Germany	2020-02-14	11.11
Germany	2020-02-15	11.11
Germany	2020-02-16	11.11
Germany	2020-02-17	11.11
Germany	2020-02-18	11.11
Germany	2020-02-19	11.11
Germany	2020-02-20	11.11
Germany	2020-02-21	11.11
Germany	2020-02-22	11.11
Germany	2020-02-23	11.11
Germany	2020-02-24	11.11
Germany	2020-02-25	11.11
Germany	2020-02-26	16.67
Germany	2020-02-27	16.67
Germany	2020-02-28	19.44
Germany	2020-02-29	25
Germany	2020-03-01	25
Germany	2020-03-02	25
Germany	2020-03-03	25
Germany	2020-03-04	25
Germany	2020-03-05	25
Germany	2020-03-06	25
Germany	2020-03-07	25
Germany	2020-03-08	25
Germany	2020-03-09	28.7
Germany	2020-03-10	32.87
Germany	2020-03-11	32.87
Germany	2020-03-12	32.87
Germany	2020-03-13	32.87
Germany	2020-03-14	32.87
Germany	2020-03-15	32.87
Italy	2020-01-01	0
Italy	2020-01-02	0
Italy	2020-01-03	0
Italy	2020-01-04	0
Italy	2020-01-05	0
Italy	2020-01-06	0
Italy	2020-01-07	0
Italy	2020-01-08	0
Italy	2020-01-09	0
Italy	2020-01-10	0
Italy	2020-01-11	0
Italy	2020-01-12	0
Italy	2020-01-13	0
Italy	2020-01-14	0
Italy	2020-01-15	0
Italy	2020-01-16	0
Italy	2020-01-17	0
Italy	2020-01-18	0
Italy	2020-01-19	0
Italy	2020-01-20	0
Italy	2020-01-21	0
Italy	2020-01-22	0
Italy	2020-01-23	2.78
Italy	2020-01-24	2.78
Italy	2020-01-25	2.78
Italy	2020-01-26	2.78
Italy	2020-01-27	2.78
Italy	2020-01-28	2.78
Italy	2020-01-29	2.78
Italy	2020-01-30	8.33
Italy	2020-01-31	19.44
Italy	2020-02-01	19.44
Italy	2020-02-02	19.44
Italy	2020-02-03	19.44
Italy	2020-02-04	19.44
Italy	2020-02-05	19.44
Italy	2020-02-06	19.44
Italy	2020-02-07	19.44
Italy	2020-02-08	19.44
Italy	2020-02-09	19.44
Italy	2020-02-10	19.44
Italy	2020-02-11	19.44
Italy	2020-02-12	19.44
Italy	2020-02-13	19.44
Italy	2020-02-14	19.44
Italy	2020-02-15	19.44
Italy	2020-02-16	19.44
Italy	2020-02-17	19.44
Italy	2020-02-18	19.44
Italy	2020-02-19	19.44
Italy	2020-02-20	19.44
Italy	2020-02-21	27.78
Italy	2020-02-22	37.04
Italy	2020-02-23	64.35
Italy	2020-02-24	64.35
Italy	2020-02-25	64.35
Italy	2020-02-26	64.35
Italy	2020-02-27	64.35
Italy	2020-02-28	64.35
Italy	2020-02-29	64.35
Italy	2020-03-01	64.35
Italy	2020-03-02	69.91
Italy	2020-03-03	69.91
Italy	2020-03-04	72.69
Italy	2020-03-05	74.54
Italy	2020-03-06	74.54
Italy	2020-03-07	74.54
Italy	2020-03-08	74.54
Italy	2020-03-09	74.54
Italy	2020-03-10	79.63
Italy	2020-03-11	82.41
Italy	2020-03-12	82.41
Italy	2020-03-13	82.41
Italy	2020-03-14	82.41
Italy	2020-03-15	82.41
OtherEU	2020-01-01	0
OtherEU	2020-01-02	0
OtherEU	2020-01-03	0
OtherEU	2020-01-04	0
OtherEU	2020-01-05	0
OtherEU	2020-01-06	0
OtherEU	2020-01-07	0
OtherEU	2020-01-08	0
OtherEU	2020-01-09	0
OtherEU	2020-01-10	0
OtherEU	2020-01-11	0
OtherEU	2020-01-12	0
OtherEU	2020-01-13	0
OtherEU	2020-01-14	0
OtherEU	2020-01-15	0
OtherEU	2020-01-16	0
OtherEU	2020-01-17	0
OtherEU	2020-01-18	0
OtherEU	2020-01-19	0
OtherEU	2020-01-20	0.2417391304347826
OtherEU	2020-01-21	0.2417391304347826
OtherEU	2020-01-22	0.2417391304347826
OtherEU	2020-01-23	0.4834782608695652
OtherEU	2020-01-24	0.4834782608695652
OtherEU	2020-01-25	0.7252173913043478
OtherEU	2020-01-26	0.9669565217391304
OtherEU	2020-01-27	1.5713043478260869
OtherEU	2020-01-28	1.8130434782608695
OtherEU	2020-01-29	1.8130434782608695
OtherEU	2020-01-30	1.8130434782608695
OtherEU	2020-01-31	3.02
OtherEU	2020-02-01	3.382608695652174
OtherEU	2020-02-02	3.503478260869565
OtherEU	2020-02-03	3.6243478260869564
OtherEU	2020-02-04	3.9869565217391303
OtherEU	2020-02-05	3.9869565217391303
OtherEU	2020-02-06	4.349130434782609
OtherEU	2020-02-07	4.349130434782609
OtherEU	2020-02-08	4.349130434782609
OtherEU	2020-02-09	4.349130434782609
OtherEU	2020-02-10	4.349130434782609
OtherEU	2020-02-11	4.590434782608695
OtherEU	2020-02-12	4.590434782608695
OtherEU	2020-02-13	4.590434782608695
OtherEU	2020-02-14	4.590434782608695
OtherEU	2020-02-15	4.590434782608695
OtherEU	2020-02-16	4.590434782608695
OtherEU	2020-02-17	4.590434782608695
OtherEU	2020-02-18	4.590434782608695
OtherEU	2020-02-19	4.590434782608695
OtherEU	2020-02-20	4.590434782608695
OtherEU	2020-02-21	4.590434782608695
OtherEU	2020-02-22	4.590434782608695
OtherEU	2020-02-23	4.710869565217391
OtherEU	2020-02-24	5.435652173913043
OtherEU	2020-02-25	6.522608695652174
OtherEU	2020-02-26	6.764347826086956
OtherEU	2020-02-27	8.21304347826087
OtherEU	2020-02-28	8.69608695652174
OtherEU	2020-02-29	9.299565217391304
OtherEU	2020-03-01	9.540869565217392
OtherEU	2020-03-02	9.90304347826087
OtherEU	2020-03-03	10.305652173913044
OtherEU	2020-03-04	11.150869565217391
OtherEU	2020-03-05	12.841739130434783
OtherEU	2020-03-06	13.324782608695653
OtherEU	2020-03-07	13.566521739130435
OtherEU	2020-03-08	14.170434782608696
OtherEU	2020-03-09	17.531304347826087
OtherEU	2020-03-10	21.958695652173912
OtherEU	2020-03-11	24.73695652173913
OtherEU	2020-03-12	32.8095652173913
OtherEU	2020-03-13	41.34434782608696
OtherEU	2020-03-14	45.4104347826087
OtherEU	2020-03-15	47.32217391304348
