# all in CGS units
n , p , epsilon 
0.0003349654391578261,8.975732423241316e29,5.60190556294619e11
0.0003548133892335737,9.239522495455998e29,5.934444894592788e11
0.00037583740428844236,9.507127162164497e29,6.286704112109233e11
0.0003981071705534953,9.778655466833036e29,6.659860056969708e11
0.00042169650342858023,1.0066970045190868e30,7.055128815886259e11
0.0004466835921509609,1.0357286533231907e30,7.473845573836687e11
0.0004731512589614781,1.063886021194678e30,7.917391424049554e11
0.0005011872336272698,1.092344253673631e30,8.387226643398724e11
0.0005308844442309858,1.1246577702367422e30,8.884928902642477e11
0.0005623413251903463,1.1624002262112696e30,9.412137634174382e11
0.0005956621435290073,1.2034609790958133e30,9.970612505159475e11
0.0006309573444801902,1.2471262635386592e30,1.0562216765644595e12
0.0006683439175686112,1.2946930347908034e30,1.1188887074531824e12
0.0007079457843841342,1.34532619079974e30,1.1852732484166296e12
0.000749894209332452,1.399725549325274e30,1.2555948339987932e12
0.0007943282347242773,1.4585751334700506e30,1.3300859662871726e12
0.0008413951416451908,1.521544091415636e30,1.408996150463002e12
0.0008912509381337408,1.589715612000667e30,1.4925853136331335e12
0.0009440608762859184,1.6631579258016338e30,1.5811321857845618e12
0.0009999999999999948,1.7420374127236471e30,1.6749321451104048e12
0.0010592537251772835,1.8277306094858672e30,1.7742930497454473e12
0.0011220184543019578,1.919866522054866e30,1.879548747871374e12
0.0011885022274370123,2.0193058872372373e30,1.991047683349434e12
0.0012589254117941606,2.1267398531436165e30,2.109158837930895e12
0.0013335214321633171,2.2421462800855172e30,2.2342776032562188e12
0.0014125375446227464,2.365712870951139e30,2.366816653038281e12
0.0014962356560944254,2.4973497014036092e30,2.5072176618620854e12
0.001584893192461105,2.63870876388938e30,2.6559488688928506e12
0.0016788040181225515,2.7942399843976845e30,2.8134987646982705e12
0.0017782794100389132,2.9636179402488553e30,2.980397005884346e12
0.0018836490894897904,3.147609812658339e30,3.1571965158730127e12
0.0019952623149688685,3.3464472994418234e30,3.344482648412227e12
0.0021134890398366354,3.561340904178857e30,3.5428824669845205e12
0.002238721138568327,3.7931557357621504e30,3.753050640208668e12
0.002371373705661642,4.043343012047524e30,3.9756881776373784e12
0.002511886431509566,4.31378020911233e30,4.211538266544628e12
0.002660725059798795,4.604680204002018e30,4.461375924630856e12
0.002818382931264438,4.918949281545935e30,4.726040929697814e12
0.002985382618917943,5.257927217082137e30,5.006410278203348e12
0.0031622776601683616,5.622681970653141e30,5.303412288730523e12
0.0033496543915782578,6.016771071596916e30,5.618042350951112e12
0.003548133892335734,6.440505946704185e30,5.951338443161582e12
0.00375837404288442,6.896970274439507e30,6.304412989974764e12
0.00398107170553495,7.389976770902409e30,6.678445621107524e12
0.004216965034285799,7.91809850276941e30,7.074664300912198e12
0.004466835921509605,8.488303453854172e30,7.494403079279861e12
0.004731512589614777,9.102186856305635e30,7.939052804048618e12
0.005011872336272693,9.760931053485475e30,8.410085397774738e12
0.005308844442309853,1.0471848062634342e31,8.909081830569723e12
0.005623413251903457,1.1234423801603806e31,9.43768709835914e12
0.005956621435290068,1.20548957068038e31,9.997667185215441e12
0.006309573444801896,1.2940540600668937e31,1.059089515106305e13
0.0066834391756861065,1.3888143620095543e31,1.1219315501739494e13
0.007079457843841337,1.4911231045645257e31,1.1885048968919496e13
0.007498942093324513,1.6012577968235574e31,1.259030115324026e13
0.007943282347242767,1.7195429654084984e31,1.3337406068315684e13
0.008413951416451902,1.8473154453330975e31,1.4128875926732166e13
0.008912509381337402,1.9847017238697258e31,1.4967317648926352e13
0.009440608762859175,2.1329831021248976e31,1.5855535848055033e13
0.00999999999999994,2.293456693673607e31,1.6796505253700209e13
0.010592537251772826,2.466427553384006e31,1.7793306316310117e13
0.011220184543019566,2.654157669173608e31,1.8849311789879793e13
0.01188502227437011,2.857794874861504e31,1.9968021055592746e13
0.012589254117941593,3.0791231860769107e31,2.115313864482908e13
0.013335214321633159,3.320381102259648e31,2.2408657641009297e13
0.014125375446227453,3.5838597278452015e31,2.3738715020193715e13
0.01496235656094424,3.872626057519886e31,2.5147768540161086e13
0.015848931924611037,4.189206408948757e31,2.664054430829707e13
0.016788040181225497,4.539260719238885e31,2.8221937572785758e13
0.017782794100389118,4.925617891571888e31,2.989731086972033e13
0.018836490894897886,5.353796362188336e31,3.1672227418591723e13
0.01995262314968867,5.8323186502899005e31,3.3552585315476766e13
0.021134890398366333,6.3646024515445035e31,3.5544731158694336e13
0.02238721138568325,6.963640297586101e31,3.7655260606647164e13
0.023713737056616398,7.637931528264266e31,3.9891271882547945e13
0.025118864315095638,8.393752095132015e31,4.226028067970661e13
0.026607250597987925,9.259684835381243e31,4.477013577714584e13
0.028183829312644355,1.023703626163906e32,4.742935195965816e13
0.0298538261891794,1.1348363479110235e32,5.024682238926376e13
0.03162277660168358,1.262532192118143e32,5.323200664716428e13
0.03349654391578255,1.3969787720402765e32,5.6394969843462445e13
0.03548133892335731,1.5059666583925537e32,5.974625762987869e13
0.037583740428844166,1.6037011109285753e32,6.32964558790523e13
0.039810717055349464,1.6909303305794788e32,6.705761954370742e13
0.04216965034285795,1.912070567710005e32,7.104300298069808e13
0.04466835921509602,2.1565060831699287e32,7.526594638239247e13
0.04731512589614773,2.4343452305683385e32,7.974079306918242e13
0.050118723362726894,2.756143646249023e32,8.448285168820852e13
0.05308844442309848,3.1230490720084067e32,8.950803680883006e13
0.056234132519034516,3.547736370883721e32,9.483369678935927e13
0.059566214352900645,4.0356212130927216e32,1.0047792379252517e14
0.0630957344480189,4.5922265323708786e32,1.0645978603413306e14
0.06683439175686101,5.240242463282948e32,1.128005026672888e14
0.07079457843841332,5.980829325761027e32,1.195212105380438e14
0.07498942093324507,6.832646909403681e32,1.2664530899837472e14
0.0794328234724276,7.821340380043054e32,1.341979402888273e14
0.08413951416451894,8.955093067394115e32,1.4220456107841962e14
0.08912509381337391,1.0276367595965938e33,1.506941058285636e14
0.09440608762859168,1.181435815804038e33,1.596960787314878e14
0.09999999999999931,1.3587255609235718e33,1.6924137842030138e14
0.10592537251772816,1.5713786906150057e33,1.793668461305734e14
0.11220184543019554,1.8199486424168453e33,1.9010628587652353e14
0.11885022274370101,2.1140140715011178e33,2.0149947431934384e14
0.12589254117941584,2.4722432263916385e33,2.135909997849027e14
0.13335214321633146,2.895604759805042e33,2.2642198578512338e14
0.14125375446227442,3.4170058763173805e33,2.4004655192382512e14
0.14962356560944226,4.054867902535724e33,2.545166897009939e14
0.1584893192461102,4.814683636548469e33,2.6988338287505034e14
0.16788040181225486,5.793633839348115e33,2.862301838755116e14
0.17782794100389102,6.97590384479025e33,3.036082515375314e14
0.18836490894897867,8.42995822531915e33,3.220991617377862e14
0.1995262314968865,1.0273925888927009e34,3.4180796121430344e14
0.21134890398366318,1.249568040337788e34,3.6279776836417806e14
0.2238721138568323,1.529353077824923e34,3.852134511307402e14
0.23713737056616377,1.8737690143221947e34,4.091627917147525e14
0.2511886431509562,2.2861981729732664e34,4.347355922951438e14
0.266072505979879,2.809450564673829e34,4.622114542873155e14
0.2818382931264433,3.4334727760974936e34,4.9163959965855156e14
0.2985382618917937,4.187114405268331e34,5.2324945130116975e14
0.3162277660168356,5.105678284466213e34,5.5735156557155944e14
0.3349654391578252,6.188605432510108e34,5.940338770588184e14
0.35481338923357275,7.4904721763274235e34,6.337573702511399e14
0.3758374042884413,9.026923657559912e34,6.767611118719732e14
0.3981071705534943,1.081931847442571e35,7.232492955666856e14
0.4216965034285791,1.294286414421734e35,7.740611847948374e14
0.4466835921509597,1.5397194417253696e35,8.292090999617975e14
0.4731512589614769,1.8242090567223313e35,8.893389791184422e14
0.5011872336272684,2.1530134218542518e35,9.552297993313345e14
0.5308844442309845,2.529877664990253e35,1.0270975316321562e15
0.5623413251903447,2.9619876414998614e35,1.1060940045650548e15
0.5956621435290059,3.454606447890824e35,1.1927823159361252e15
0.6309573444801884,4.015459953125715e35,1.2877668033749712e15
0.6683439175686096,4.651201978261674e35,1.3928527438370498e15
0.7079457843841325,5.371434391503239e35,1.5082899705124055e15
0.74989420933245,6.185760660634383e35,1.6355865524299832e15
0.7943282347242753,7.103004896984008e35,1.7763976594885932e15
0.8413951416451886,8.138296179843374e35,1.9316055383856362e15
0.8912509381337386,9.301509378445738e35,2.1035532939391262e15
0.944060876285916,1.0609180177761622e36,2.2937621936781525e15
0.9999999999999922,1.2081163734439176e36,2.504009847957726e15
1.0592537251772807,1.372758754713446e36,2.7376339414442325e15
1.1220184543019547,1.5578260260714862e36,2.996202833481827e15
1.188502227437009,1.7653915594937865e36,3.282995191286062e15
1.258925411794157,1.997714211527298e36,3.601540058933748e15
1.3335214321633135,2.2585289184578337e36,3.9548088396326735e15
1.412537544622743,2.5503367787842667e36,4.3475088054404125e15
1.4962356560944214,2.8772769817509625e36,4.783771785509322e15
1.584893192461101,3.244000909663239e36,5.268389877451892e15
1.678804018122547,3.653705519247892e36,5.807829221344139e15
1.7782794100389088,4.1131202903714324e36,6.407498229228743e15
1.8836490894897855,4.627590813067374e36,7.074755316566026e15
1.9952623149688633,5.203121549901058e36,7.817601796942784e15
2.11348903983663,5.848226241530939e36,8.644401620218445e15
2.238721138568321,6.569920511340451e36,9.565363304789548e15
2.371373705661636,7.378077912202718e36,1.059118508067524e16
2.5118864315095597,8.283721540280915e36,1.1734103193651612e16
2.6607250597987884,9.296368567542908e36,1.300801320992294e16
2.8183829312644306,1.0431146374690954e37,1.4428010245859278e16
2.985382618917935,1.1701891843352182e37,1.6011366046999076e16
3.162277660168353,1.3124178283756118e37,1.7777073653722308e16
3.349654391578249,1.471790205096428e37,1.9746815683883204e16
3.5481338923357244,1.6501909807709197e37,2.1944301010639084e16
3.7583740428844106,1.8500082755653377e37,2.439645098154754e16
3.981071705534939,2.0739113713879458e37,2.71337893415205e16
4.216965034285788,2.324510838501751e37,3.0188689381506624e16
4.466835921509594,2.6053346838722056e37,3.360002405555692e16
4.7315125896147645,2.919917824783239e37,3.7409584141956584e16
5.01187233627268,3.2722317140953734e37,4.166368315633074e16
5.308844442309838,3.6670587216501694e37,4.6416687792598376e16
5.623413251903441,4.1092938742037868e37,5.172600833608186e16
5.956621435290053,4.6047975436401475e37,5.765861246956897e16
6.309573444801878,5.160133206705627e37,6.429006847989583e16
6.683439175686089,5.782135349972309e37,7.1699290309128376e16
7.079457843841318,6.479293223166323e37,7.998337402295842e16
7.4989420933244935,7.260550421135123e37,8.92451763307283e16
7.943282347242745,8.135941694368843e37,9.959921232775432e16
8.413951416451878,9.117184561053035e37,1.1118026085966098e17
8.912509381337376,1.0216761828089765e38,1.241302633701714e17
9.440608762859151,1.1449194745785111e38,1.3861532349575832e17
9.999999999999913,1.2830766473651751e38,1.548224193637782e17
