file_name,label,load_W,shaft_frequency_hz,sample_rate,has_runup,bearing.id,bearing.inner_diameter_mm,bearing.outer_diameter_mm,bearing.ball_diameter_mm,bearing.ball_number
HUST bearing dataset/N704.mat,40,400,22.84,51200,True,6207,35,72,11.0,9
HUST bearing dataset/IO502.mat,45,200,24.14,51200,True,6205,25,52,7.8,9
HUST bearing dataset/O602.mat,42,200,24.22,51200,True,6206,30,62,9.0,9
HUST bearing dataset/OB402.mat,46,200,24.31,51200,True,6204,20,47,7.6,8
HUST bearing dataset/B500.mat,43,0,24.93,51200,True,6205,25,52,7.8,9
HUST bearing dataset/I700.mat,41,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/IO602.mat,45,200,22.89,51200,True,6206,30,62,9.0,9
HUST bearing dataset/I502.mat,41,200,24.11,51200,True,6205,25,52,7.8,9
HUST bearing dataset/I800.mat,41,0,24.73,51200,True,6208,40,80,12.0,9
HUST bearing dataset/OB702.mat,46,200,23.96,51200,True,6207,35,72,11.0,9
HUST bearing dataset/O400.mat,42,0,24.93,51200,True,6204,20,47,7.6,8
HUST bearing dataset/IB502.mat,44,200,24.22,51200,True,6205,25,52,7.8,9
HUST bearing dataset/B702.mat,43,200,24.01,51200,True,6207,35,72,11.0,9
HUST bearing dataset/N404.mat,40,400,23.14,51200,True,6204,20,47,7.6,8
HUST bearing dataset/N500.mat,40,0,24.93,51200,True,6205,25,52,7.8,9
HUST bearing dataset/B804.mat,43,400,22.84,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IB500.mat,44,0,24.83,51200,True,6205,25,52,7.8,9
HUST bearing dataset/N700.mat,40,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/I600.mat,41,0,24.83,51200,True,6206,30,62,9.0,9
HUST bearing dataset/IB804.mat,44,400,22.73,51200,True,6208,40,80,12.0,9
HUST bearing dataset/OB700.mat,46,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/I602.mat,41,200,24.17,51200,True,6206,30,62,9.0,9
HUST bearing dataset/N604.mat,40,400,23.14,51200,True,6206,30,62,9.0,9
HUST bearing dataset/O702.mat,42,200,24.01,51200,True,6207,35,72,11.0,9
HUST bearing dataset/IB702.mat,44,200,24.01,51200,True,6207,35,72,11.0,9
HUST bearing dataset/B600.mat,43,0,24.85,51200,True,6206,30,62,9.0,9
HUST bearing dataset/B700.mat,43,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/IO400.mat,45,0,24.88,51200,True,6204,20,47,7.6,8
HUST bearing dataset/N702.mat,40,200,24.37,51200,True,6207,35,72,11.0,9
HUST bearing dataset/N804.mat,40,400,23.04,51200,True,6208,40,80,12.0,9
HUST bearing dataset/B800.mat,43,0,24.78,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IB704.mat,44,400,22.68,51200,True,6207,35,72,11.0,9
HUST bearing dataset/IO700.mat,45,0,24.83,51200,True,6207,35,72,11.0,9
HUST bearing dataset/N504.mat,40,400,22.99,51200,True,6205,25,52,7.8,9
HUST bearing dataset/O802.mat,42,200,24.06,51200,True,6208,40,80,12.0,9
HUST bearing dataset/IO804.mat,45,400,22.73,51200,True,6208,40,80,12.0,9
HUST bearing dataset/OB602.mat,46,200,24.12,51200,True,6206,30,62,9.0,9
HUST bearing dataset/OB500.mat,46,0,24.88,51200,True,6205,25,52,7.8,9
HUST bearing dataset/OB400.mat,46,0,24.96,51200,False,6204,20,47,7.6,8
HUST bearing dataset/IB800.mat,44,0,24.78,51200,True,6208,40,80,12.0,9
HUST bearing dataset/O604.mat,42,400,23.01,51200,True,6206,30,62,9.0,9
HUST bearing dataset/I400.mat,41,0,24.93,51200,True,6204,20,47,7.6,8
HUST bearing dataset/OB802.mat,46,200,24.01,51200,True,6208,40,80,12.0,9
HUST bearing dataset/N402.mat,40,200,24.22,51200,True,6204,20,47,7.6,8
HUST bearing dataset/OB800.mat,46,0,24.73,51200,True,6208,40,80,12.0,9
