"","name","x.mni","y.mni","z.mni","lobe","hemi","index","network","name.full"
"30","5mv_L2",-10.7,-47.5,60.3,"Parietal","L",30,"SMhand","Area_5m_ventral_L"
"31","3b_L1",-15.6,-33.1,66.1,"Parietal","L",31,"SMhand","Primary_Sensory_Cortex_L"
"32","4_L2",-10.9,-29.3,69.5,"Frontal","L",32,"SMhand","Primary_Motor_Cortex_L"
"33","6mp_L1",-6.6,-20.4,74.2,"Frontal","L",33,"SMhand","Area_6mp_L"
"34","6mp_L2",-8,-8.7,62.9,"Frontal","L",34,"CinguloOperc","Area_6mp_L"
"35","5m_L",-10.8,-41.1,64.9,"Parietal","L",35,"SMhand","Area_5m_L"
"36","4_L3",-5,-28.2,60.4,"Frontal","L",36,"SMhand","Primary_Motor_Cortex_L"
"37","24dd_L",-5.4,-15.9,48.8,"Frontal","L",37,"SMhand","Dorsal_Area_24d_L"
"38","3b_L2",-35.8,-29.7,54.5,"Parietal","L",38,"SMhand","Primary_Sensory_Cortex_L"
"39","4_L4",-41.5,-12.5,50.4,"Frontal","L",39,"SMmouth","Primary_Motor_Cortex_L"
"40","FEF_L",-42.1,-4.5,47.3,"Frontal","L",40,"CinguloOperc","Frontal_Eye_Fields_L"
"41","6a_L1",-27.3,-6.8,46.3,"Frontal","L",41,"DorsalAttn","Area_6_anterior_L"
"42","i6-8_L",-27.3,1.9,52.9,"Frontal","L",42,"DorsalAttn","Inferior_6-8_Transitional_Area_L"
"43","6a_L2",-19.8,6.4,55.7,"Frontal","L",43,"DorsalAttn","Area_6_anterior_L"
"44","8Ad_L1",-19.5,30.1,45.5,"Frontal","L",44,"Default","Area_8Ad_L"
"45","4_L5",-36.8,-22.8,61.9,"Frontal","L",45,"SMhand","Primary_Motor_Cortex_L"
"46","4_L6",-20.5,-24.9,64.5,"Frontal","L",46,"SMhand","Primary_Motor_Cortex_L"
"47","6d_L",-23.4,-13.8,64.2,"Frontal","L",47,"SMhand","Dorsal_area_6_L"
"48","6a_L3",-17.2,-8.6,67.9,"Frontal","L",48,"SMhand","Area_6_anterior_L"
"49","6a_L4",-21.3,-0.2,62.7,"Frontal","L",49,"DorsalAttn","Area_6_anterior_L"
"50","2_L1",-28.6,-44.7,61.7,"Parietal","L",50,"SMhand","Area_2_L"
"51","LIPv_L",-31.1,-48.9,47.1,"Parietal","L",51,"DorsalAttn","Area_Lateral_IntraParietal_ventral_L"
"52","7PC_L",-42.9,-45,43,"Parietal","L",52,"DorsalAttn","Area_7PC_L"
"53","3b_L3",-51.5,-11.9,29.7,"Parietal","L",53,"SMmouth","Primary_Sensory_Cortex_L"
"54","2_L2",-54.1,-21.3,40.8,"Parietal","L",54,"SMhand","Area_2_L"
"55","PFt_L1",-51.7,-30.9,39.9,"Parietal","L",55,"DorsalAttn","Area_PFt_L"
"56","AIP_L",-35.2,-35.3,42,"Parietal","L",56,"SMhand","Anterior_IntraParietal_Area_L"
"57","2_L3",-27.5,-37.2,61.4,"Parietal","L",57,"SMhand","Area_2_L"
"58","2_L4",-47.2,-31.4,54.8,"Parietal","L",58,"SMhand","Area_2_L"
"59","3b_L4",-46.1,-17.8,52.7,"Parietal","L",59,"SMmouth","Primary_Sensory_Cortex_L"
"60","TPOJ1_L",-44.8,-54,14.6,"Temporal","L",60,"VentralAttn","Area_TemporoParietoOccipital_Junction_1_L"
"61","TPOJ2_L",-51.6,-55.9,11.4,"Parietal","L",61,"VentralAttn","Area_TemporoParietoOccipital_Junction_2_L"
"62","STSdp_L",-48.1,-40,2.4,"Temporal","L",62,"VentralAttn","Area_STSd_posterior_L"
"63","PF_L",-57.7,-40.6,35.8,"Parietal","L",63,"CinguloOperc","Area_PF_Complex_L"
"64","PFcm_L1",-46.3,-41.4,25.9,"Parietal","L",64,"Auditory","Area_PFcm_L"
"65","RI_L2",-35.8,-33.5,19.9,"Parietal","L",65,"Auditory","RetroInsular_Cortex_L"
"66","LBelt_L1",-52.7,-20.6,5.4,"Temporal","L",66,"Auditory","Lateral_Belt_Complex_L"
"67","A4_L",-59.6,-38.5,16.5,"Temporal","L",67,"Auditory","Auditory_4_Complex_L"
"68","PBelt_L",-58.7,-29.9,11.1,"Temporal","L",68,"Auditory","ParaBelt_Complex_L"
"69","LBelt_L2",-40.6,-38.3,14.5,"Temporal","L",69,"Auditory","Lateral_Belt_Complex_L"
"70","Ig_L1",-33.7,-21.8,9.9,"Insula","L",70,"Auditory","Insular_Granular_Complex_L"
"71","52_L",-38.7,-16,-5.3,"Temporal","L",71,"CinguloOperc","Area_52_L"
"72","PoI2_L",-39.1,-1.6,-12.2,"Insula","L",72,"CinguloOperc","Posterior_Insular_Area_2_L"
"73","TGd_L2",-33.6,17.2,-31.5,"Temporal","L",73,"None","Area_TG_dorsal_L"
"74","IFSa_L1",-43.6,36.3,8.5,"Frontal","L",74,"DorsalAttn","Area_IFSa_L"
"75","44_L",-50,20.8,10.6,"Frontal","L",75,"VentralAttn","Area_44_L"
"76","FOP3_L",-37.7,2.9,11.7,"Insula","L",76,"CinguloOperc","Frontal_Opercular_Area_3_L"
"77","Ig_L2",-37.2,-14,19.4,"Insula","L",77,"Auditory","Insular_Granular_Complex_L"
"78","p47r_L1",-40.3,50.4,-4.8,"Frontal","L",78,"FrontoParietal","Area_posterior_47r_L"
"79","p47r_L2",-47.2,39,-9.1,"Frontal","L",79,"VentralAttn","Area_posterior_47r_L"
"80","47s_L",-29.1,20.5,-14,"Frontal","L",80,"VentralAttn","Area_47s_L"
"81","MI_L1",-36.6,1.4,6.4,"Insula","L",81,"CinguloOperc","Middle_Insular_Area_L"
"82","MI_L2",-37.3,8.9,-0.9,"Insula","L",82,"CinguloOperc","Middle_Insular_Area_L"
"83","AAIC_L",-32.5,17.2,-7.8,"Insula","L",83,"Salience","Anterior_Agranular_Insula_Complex_L"
"84","FOP4_L",-28.8,23.7,8.4,"Frontal","L",84,"CinguloOperc","Frontal_Opercular_Area_4_L"
"85","47l_L",-44.3,33.2,-7.2,"Frontal","L",85,"VentralAttn","Area_47l_(47_lateral)_L"
"86","45_L",-45.4,28.8,0.8,"Frontal","L",86,"VentralAttn","Area_45_L"
"87","MIP_L1",-20.4,-64.6,51.4,"Parietal","L",87,"DorsalAttn","Medial_IntraParietal_Area_L"
"88","MIP_L2",-25.8,-65,32.2,"Parietal","L",88,"DorsalAttn","Medial_IntraParietal_Area_L"
"89","POS2_L1",-12.7,-64.9,31.8,"Occipital","L",89,"CinguloParietal","Parieto-Occipital_Sulcus_Area_2_L"
"90","V6_L",-13.7,-77.4,26.6,"Occipital","L",90,"Visual","Sixth_Visual_Area_L"
"91","7Am_L1",-9.9,-56.9,59.8,"Parietal","L",91,"DorsalAttn","Medial_Area_7A_L"
"92","7Am_L2",-7.1,-63.7,54.9,"Parietal","L",92,"DorsalAttn","Medial_Area_7A_L"
"93","POS2_L2",-10.9,-73.4,42.9,"Occipital","L",93,"CinguloParietal","Parieto-Occipital_Sulcus_Area_2_L"
"94","PGs_L",-39.3,-73.9,38.3,"Parietal","L",94,"Default","Area_PGs_L"
"95","IP1_L",-30,-74.1,36.1,"Parietal","L",95,"DorsalAttn","Area_IntraParietal_1_L"
"96","LIPd_L",-34.1,-61,42.4,"Parietal","L",96,"FrontoParietal","Area_Lateral_IntraParietal_dorsal_L"
"97","V3CD_L",-31.3,-84.2,9,"Occipital","L",97,"Visual","Area_V3CD_L"
"98","LO1_L",-34.2,-86.6,-0.5,"Occipital","L",98,"Visual","Area_Lateral_Occipital_1_L"
"99","MT_L",-43.4,-67.6,9.7,"Occipital","L",99,"Visual","Middle_Temporal_Area_L"
"100","PH_L1",-46.2,-57.7,-7.9,"Temporal","L",100,"DorsalAttn","Area_PH_L"
"101","OP4_L",-59.8,-4.1,8.8,"Parietal","L",101,"CinguloOperc","Area_OP4-PV_L"
"102","OP1_L1",-52.2,-14.1,15.2,"Parietal","L",102,"Auditory","Area_OP1-SII_L"
"103","PFcm_L2",-55.1,-32.3,23,"Parietal","L",103,"CinguloOperc","Area_PFcm_L"
"104","OP1_L2",-50.6,-22.4,19.2,"Parietal","L",104,"Auditory","Area_OP1-SII_L"
"105","PFt_L2",-58.8,-23.9,31,"Parietal","L",105,"CinguloOperc","Area_PFt_L"
"106","6r_L1",-45.2,2.7,32.4,"Frontal","L",106,"DorsalAttn","Rostral_Area_6_L"
"107","8C_L1",-34.7,5.6,34,"Frontal","L",107,"DorsalAttn","Area_8C_L"
"108","8C_L2",-43,19.4,33.5,"Frontal","L",108,"FrontoParietal","Area_8C_L"
"109","p9-46v_L",-40.2,23.6,23.3,"Frontal","L",109,"FrontoParietal","Area_posterior_9-46v_L"
"110","IFSa_L2",-37.6,38.4,17.2,"Frontal","L",110,"DorsalAttn","Area_IFSa_L"
"111","43_L",-51.8,-0.6,5,"Frontal","L",111,"CinguloOperc","Area_43_L"
"112","6r_L2",-48.6,7.5,11.1,"Frontal","L",112,"CinguloOperc","Rostral_Area_6_L"
"113","IFJa_L",-41.6,8.7,22.2,"Frontal","L",113,"DorsalAttn","Area_IFJa_L"
"114","a10p_L1",-27.5,53.6,0,"Frontal","L",114,"Default","Area_anterior_10p_L"
"115","a10p_L2",-23.4,61,-6.8,"Frontal","L",115,"None","Area_anterior_10p_L"
"116","10r_L",-5.9,54.8,-11.3,"Frontal","L",116,"Default","Area_10r_L"
"117","a24_L",-6.8,38.2,-9.4,"Frontal","L",117,"Default","Area_a24_L"
"118","Pir_L",-31.8,2.6,-16.8,"Temporal","L",118,"None","Pirform_Cortex_L"
"119","11l_L1",-34.7,35.6,-9.6,"Frontal","L",119,"None","Area_11l_L"
"120","13l_L",-22.5,32.1,-13.6,"Frontal","L",120,"None","Area_13l_L"
"121","11l_L2",-23.8,52.2,-12.8,"Frontal","L",121,"None","Area_11l_L"
"122","11l_L3",-17.3,46.6,-17.9,"Frontal","L",122,"None","Area_11l_L"
"123","OFC_L1",-13.3,24,-16.4,"Frontal","L",123,"None","Orbital_Frontal_Complex_L"
"124","OFC_L2",-8.9,45.5,-20.8,"Frontal","L",124,"None","Orbital_Frontal_Complex_L"
"125","10v_L",-2.5,33.8,-26.2,"Frontal","L",125,"None","Area_10v_L"
"126","TE1m_L",-63.2,-28.7,-7.2,"Temporal","L",126,"Default","Area_TE1_Middle_L"
"127","STSva_L",-53.1,-11.4,-16,"Temporal","L",127,"Default","Area_STSv_anterior_L"
"128","TE2a_L",-53.2,-13,-29.2,"Temporal","L",128,"None","Area_TE2_anterior_L"
"129","TGd_L3",-44.6,9,-37,"Temporal","L",129,"None","Area_TG_dorsal_L"
"130","PHA2_L",-33.8,-33.2,-15.4,"Temporal","L",130,"RetrosplenialTemporal","ParaHippocampal_Area_2_L"
"131","VMV3_L",-28.8,-58.8,-9.1,"Occipital","L",131,"Visual","VentroMedial_Visual_Area_3_L"
"132","VVC_L1",-34.4,-63.9,-15.7,"Temporal","L",132,"Visual","Ventral_Visual_Complex_L"
"133","TE1p_L2",-55.1,-39.6,-16.2,"Temporal","L",133,"None","Area_TE1_posterior_L"
"134","TGv_L",-32,-3.9,-45.2,"Temporal","L",134,"None","Area_TG_Ventral_L"
"135","TF_L",-38.6,-13,-26.9,"Temporal","L",135,"None","Area_TF_L"
"136","VVC_L2",-34.3,-43.8,-21.6,"Temporal","L",136,"Visual","Ventral_Visual_Complex_L"
"137","V2_L1",-5.4,-88,18.6,"Occipital","L",137,"Visual","Second_Visual_Area_L"
"138","V2_L2",-8.6,-77.5,-3.5,"Occipital","L",138,"Visual","Second_Visual_Area_L"
"139","PH_L2",-41.2,-72.1,-5.9,"Temporal","L",139,"Visual","Area_PH_L"
"140","V2_L3",-25.2,-97.2,-7.9,"Occipital","L",140,"Visual","Second_Visual_Area_L"
"141","V3_L",-22.6,-81.7,-11.7,"Occipital","L",141,"Visual","Third_Visual_Area_L"
"142","EC_L",-20.5,-12.6,-23.7,"Temporal","L",142,"None","Entorhinal_Cortex_L"
"143","PHA1_L",-22.5,-37.1,-15,"Temporal","L",143,"RetrosplenialTemporal","ParaHippocampal_Area_1_L"
"144","PreS_L",-22,-21.9,-17.4,"Temporal","L",144,"None","PreSubiculum_L"
"145","9p_L",-15.9,48.6,37.2,"Frontal","L",145,"Default","Area_9_Posterior_L"
"146","9a_L",-19.5,56.3,27.5,"Frontal","L",146,"Default","Area_9_anterior_L"
"147","9-46d_L1",-26.6,46.8,20.9,"Frontal","L",147,"CinguloOperc","Area_9-46d_L"
"148","p10p_L",-21.3,63.1,1.9,"Frontal","L",148,"FrontoParietal","Area_posterior_10p_L"
"149","9-46d_L2",-28.6,50.9,10.1,"Frontal","L",149,"FrontoParietal","Area_9-46d_L"
"150","9m_L1",-6.5,54.7,18.1,"Frontal","L",150,"Default","Area_9_Middle_L"
"151","10d_L",-15.7,64.7,13.7,"Frontal","L",151,"Default","Area_10d_L"
"152","9m_L2",-6,44.9,6.3,"Frontal","L",152,"Default","Area_9_Middle_L"
"153","9-46d_L3",-28.8,38.3,28.2,"Frontal","L",153,"CinguloOperc","Area_9-46d_L"
"154","8Ad_L2",-26.2,26.6,38.8,"Frontal","L",154,"Default","Area_8Ad_L"
"155","46_L",-35.7,33.1,32,"Frontal","L",155,"DorsalAttn","Area_46_L"
"156","8Av_L1",-29.3,16.8,50.7,"Frontal","L",156,"Default","Area_8Av_L"
"157","8Av_L2",-41.7,16.1,47.5,"Frontal","L",157,"Default","Area_8Av_L"
"158","55b_L",-38.7,4.8,48.4,"Frontal","L",158,"VentralAttn","Area_55b_L"
"159","STSda_L",-50.8,6.9,-20.1,"Temporal","L",159,"None","Area_STSd_anterior_L"
"160","MBelt_L",-54.4,-1.4,-0.7,"Temporal","L",160,"Auditory","Medial_Belt_Complex_L"
"161","A5_L",-59,-18,-3,"Temporal","L",161,"VentralAttn","Auditory_5_Complex_L"
"162","31pd_R",12.3,-51.6,34.5,"Parietal","R",162,"Default","Area_31pd_R"
"163","7AL_R",20.8,-48.2,66.1,"Parietal","R",163,"SMhand","Lateral_Area_7A_R"
"164","4_R1",49.6,-7.4,36.1,"Frontal","R",164,"SMmouth","Primary_Motor_Cortex_R"
"165","s6-8_R",11.9,21.9,59.9,"Frontal","R",165,"Default","Superior_6-8_Transitional_Area_R"
"166","V3A_R1",22,-84.6,23.7,"Occipital","R",166,"Visual","Area_V3A_R"
"167","PFm_R",47.9,-42.5,41.5,"Parietal","R",167,"FrontoParietal","Area_PFm_Complex_R"
"168","a9-46v_R",38.1,45.9,7.7,"Frontal","R",168,"FrontoParietal","Area_anterior_9-46v_R"
"169","VMV1_R1",22.3,-46.5,-9.9,"Occipital","R",169,"Visual","VentroMedial_Visual_Area_1_R"
"170","TE1p_R1",59.7,-41,-10.9,"Temporal","R",170,"FrontoParietal","Area_TE1_posterior_R"
"171","Ig_R",33.6,-22.3,13,"Insula","R",171,"Auditory","Insular_Granular_Complex_R"
"172","TGd_R1",32.5,13.6,-30.5,"Temporal","R",172,"None","Area_TG_dorsal_R"
"173","RSC_R",7.6,-27,28.4,"Parietal","R",173,"CinguloParietal","RetroSplenial_Complex_R"
"174","POS1_R",13.8,-54.1,10.9,"Parietal","R",174,"RetrosplenialTemporal","Parieto-Occipital_Sulcus_Area_1_R"
"175","V1_R",15.5,-74.1,9.4,"Occipital","R",175,"Visual","Primary_Visual_Cortex_R"
"176","ProS_R",19.6,-45.3,-4.4,"Parietal","R",176,"Visual","ProStriate_Area_R"
"177","VMV1_R2",15.6,-59.6,-5,"Occipital","R",177,"Visual","VentroMedial_Visual_Area_1_R"
"178","H_R1",24.9,-35.9,-4.8,"Temporal","R",178,"None","Hippocampus_R"
"179","PreS_R",19.4,-29.9,-9.7,"Temporal","R",179,"None","PreSubiculum_R"
"180","5mv_R",16.2,-33.1,43.2,"Parietal","R",180,"CinguloOperc","Area_5m_ventral_R"
"181","SCEF_R1",6.7,5,55.9,"Frontal","R",181,"CinguloOperc","Supplementary_and_Cingulate_Eye_Field_R"
"182","8BM_R1",7,25.7,47.3,"Frontal","R",182,"FrontoParietal","Area_8BM_R"
"183","a32pr_R",8.4,34.7,22.6,"Frontal","R",183,"Salience","Area_anterior_32_prime_R"
"184","a24_R",7.7,44.1,5.5,"Frontal","R",184,"Default","Area_a24_R"
"185","p24pr_R",8.6,4.2,40.1,"Frontal","R",185,"CinguloOperc","Area_Posterior_24_prime_R"
"186","23d_R",3,-19.6,37.9,"Parietal","R",186,"Default","Area_23d_R"
"187","p32pr_R",8.8,10.8,45.9,"Frontal","R",187,"CinguloOperc","Area_p32_prime_R"
"188","a24pr_R",6,21.8,32.4,"Frontal","R",188,"CinguloOperc","Anterior_24_prime_R"
"189","7Am_R",10.3,-57.3,58.3,"Parietal","R",189,"DorsalAttn","Medial_Area_7A_R"
"190","3b_R1",16.5,-32.8,67.7,"Frontal","R",190,"SMhand","Primary_Sensory_Cortex_R"
"191","4_R2",4.8,-27.1,64.8,"Frontal","R",191,"SMhand","Primary_Motor_Cortex_R"
"192","6ma_R1",16.2,0.8,67.5,"Frontal","R",192,"CinguloOperc","Area_6m_anterior_R"
"193","5L_R",11.9,-40.7,67,"Parietal","R",193,"SMhand","Area_5L_R"
"194","24dd_R1",5.1,-17.1,51.6,"Frontal","R",194,"SMhand","Dorsal_Area_24d_R"
"195","24dd_R2",6.8,-8.1,50.9,"Frontal","R",195,"SMhand","Dorsal_Area_24d_R"
"196","SCEF_R2",8,-6.2,63.7,"Frontal","R",196,"CinguloOperc","Supplementary_and_Cingulate_Eye_Field_R"
"197","4_R3",42.3,-11,47.3,"Frontal","R",197,"SMmouth","Primary_Motor_Cortex_R"
"198","FEF_R",42.5,-2.3,47.2,"Frontal","R",198,"CinguloOperc","Frontal_Eye_Fields_R"
"199","6a_R1",29.2,1.9,52.4,"Frontal","R",199,"DorsalAttn","Area_6_anterior_R"
"200","8Ad_R1",21.9,21,46.2,"Frontal","R",200,"Default","Area_8Ad_R"
"201","4_R4",38.1,-22.4,60.3,"Frontal","R",201,"SMhand","Primary_Motor_Cortex_R"
"202","4_R5",19.7,-25,65.2,"Frontal","R",202,"SMhand","Primary_Motor_Cortex_R"
"203","6a_R2",29.9,-7.8,47.4,"Frontal","R",203,"DorsalAttn","Area_6_anterior_R"
"204","4_R6",12.4,-28.3,69.6,"Frontal","R",204,"SMhand","Primary_Motor_Cortex_R"
"205","6d_R",29.2,-13.5,64.2,"Frontal","R",205,"SMhand","Dorsal_area_6_R"
"206","6mp_R1",17,-16.9,70.9,"Frontal","R",206,"SMhand","Area_6mp_R"
"207","6mp_R2",20.9,-6.4,65,"Frontal","R",207,"SMhand","Area_6mp_R"
"208","6ma_R2",22.6,5.6,57.6,"Frontal","R",208,"DorsalAttn","Area_6m_anterior_R"
"209","7PC_R1",29.5,-42.5,60.4,"Parietal","R",209,"SMhand","Area_7PC_R"
"210","7PC_R2",34.2,-40.6,51.6,"Parietal","R",210,"SMhand","Area_7PC_R"
"211","IP2_R1",38.8,-42.6,40.4,"Parietal","R",211,"DorsalAttn","Area_IntraParietal_2_R"
"212","3b_R2",53.9,-8.3,26.1,"Frontal","R",212,"SMmouth","Primary_Sensory_Cortex_R"
"213","AIP_R1",39.6,-31.5,39.7,"Parietal","R",213,"SMhand","Anterior_IntraParietal_Area_R"
"214","1_R",28,-34.8,63.1,"Parietal","R",214,"SMhand","Area_1_R"
"215","2_R1",39.2,-34.6,57.5,"Parietal","R",215,"SMhand","Area_2_R"
"216","3a_R",37.3,-25.9,50.9,"Frontal","R",216,"SMhand","Area_3a_R"
"217","2_R2",48.7,-26.1,52.2,"Parietal","R",217,"SMhand","Area_2_R"
"218","3b_R3",47.8,-15.1,49.3,"Frontal","R",218,"SMmouth","Primary_Sensory_Cortex_R"
"219","PSL_R",57.5,-40.3,34.7,"Parietal","R",219,"CinguloOperc","PeriSylvian_Language_Area_R"
"220","PGi_R1",48.9,-53,28.6,"Parietal","R",220,"Default","Area_PGi_R"
"221","TPOJ1_R1",57.5,-45.3,9,"Temporal","R",221,"VentralAttn","Area_TemporoParietoOccipital_Junction_1_R"
"222","TE1p_R2",60.9,-38.7,1.7,"Temporal","R",222,"VentralAttn","Area_TE1_posterior_R"
"223","PF_R",54.9,-27,29.6,"Parietal","R",223,"CinguloOperc","Area_PF_Complex_R"
"224","RI_R",36.4,-30.7,19.4,"Parietal","R",224,"Auditory","RetroInsular_Cortex_R"
"225","STSvp_R",62.5,-25.6,-5.5,"Temporal","R",225,"Default","Area_STSv_posterior_R"
"226","A5_R1",57.1,-17,-2.6,"Temporal","R",226,"VentralAttn","Auditory_5_Complex_R"
"227","LBelt_R",53.8,-15.8,5.2,"Temporal","R",227,"Auditory","Lateral_Belt_Complex_R"
"228","TPOJ1_R2",47.4,-39.6,13.2,"Temporal","R",228,"VentralAttn","Area_TemporoParietoOccipital_Junction_1_R"
"229","STSdp_R1",45.5,-37.3,3.4,"Temporal","R",229,"VentralAttn","Area_STSd_posterior_R"
"230","STV_R",59.2,-38.6,14.6,"Parietal","R",230,"Auditory","Superior_Temporal_Visual_Area_R"
"231","STSdp_R2",48.5,-26.5,-0.1,"Temporal","R",231,"VentralAttn","Area_STSd_posterior_R"
"232","A5_R2",61.7,-24,1.3,"Temporal","R",232,"Auditory","Auditory_5_Complex_R"
"233","PBelt_R1",60,-25.2,10.2,"Temporal","R",233,"Auditory","ParaBelt_Complex_R"
"234","PoI1_R",38.8,-14.4,-5,"Insula","R",234,"CinguloOperc","Area_Posterior_Insular_1_R"
"235","PoI2_R1",39.7,1.2,-13.1,"Insula","R",235,"CinguloOperc","Posterior_Insular_Area_2_R"
"236","p9-46v_R1",36.8,37.8,13.1,"Frontal","R",236,"DorsalAttn","Area_posterior_9-46v_R"
"237","44_R",52.5,23.7,10.3,"Frontal","R",237,"VentralAttn","Area_44_R"
"238","FOP3_R",36.7,5.2,12.7,"Insula","R",238,"CinguloOperc","Frontal_Opercular_Area_3_R"
"239","OP2-3_R",38.4,-12.2,20,"Parietal","R",239,"Auditory","Area_OP2-3-VS_R"
"240","p47r_R1",42.8,48.3,-5.1,"Frontal","R",240,"FrontoParietal","Area_posterior_47r_R"
"241","p47r_R2",48.1,38.3,-9.2,"Frontal","R",241,"VentralAttn","Area_posterior_47r_R"
"242","45_R",45.2,30.7,-5.6,"Frontal","R",242,"VentralAttn","Area_45_R"
"243","AAIC_R",27.4,19.7,-14.9,"Insula","R",243,"VentralAttn","Anterior_Agranular_Insula_Complex_R"
"244","PoI2_R2",36.6,-10,12.4,"Insula","R",244,"Auditory","Posterior_Insular_Area_2_R"
"245","MI_R1",39.6,10.4,-1.6,"Insula","R",245,"CinguloOperc","Middle_Insular_Area_R"
"246","MI_R2",36.5,5.7,6,"Insula","R",246,"CinguloOperc","Middle_Insular_Area_R"
"247","AVI_R1",30.6,22.8,-4.7,"Insula","R",247,"Salience","Anterior_Ventral_Insular_Area_R"
"248","AVI_R2",33.7,22.6,3.7,"Insula","R",248,"CinguloOperc","Anterior_Ventral_Insular_Area_R"
"249","FOP5_R",34,24.4,10,"Insula","R",249,"CinguloOperc","Area_Frontal_Opercular_5_R"
"250","IFSa_R",48.1,38.4,2.4,"Frontal","R",250,"DorsalAttn","Area_IFSa_R"
"251","LIPv_R",26.8,-55,54.2,"Parietal","R",251,"Visual","Area_Lateral_IntraParietal_ventral_R"
"252","MIP_R",23,-66.4,51.8,"Parietal","R",252,"DorsalAttn","Medial_IntraParietal_Area_R"
"253","IP0_R1",32.3,-63.6,33.8,"Parietal","R",253,"DorsalAttn","Area_IntraParietal_0_R"
"254","POS2_R",15.6,-69.5,39.6,"Parietal","R",254,"CinguloParietal","Parieto-Occipital_Sulcus_Area_2_R"
"255","V6_R",17.6,-78.3,34,"Occipital","R",255,"Visual","Sixth_Visual_Area_R"
"256","V3A_R2",7.7,-85.6,31.6,"Occipital","R",256,"Visual","Area_V3A_R"
"257","7Pm_R",7.4,-69.3,49.9,"Parietal","R",257,"Default","Medial_Area_7P_R"
"258","IP0_R2",35.4,-77.1,21.1,"Parietal","R",258,"Visual","Area_IntraParietal_0_R"
"259","PGi_R2",46.5,-67.3,36.2,"Parietal","R",259,"Default","Area_PGi_R"
"260","IP2_R2",41.5,-53.5,44,"Parietal","R",260,"FrontoParietal","Area_IntraParietal_2_R"
"261","IP2_R3",35.7,-56.7,45.2,"Parietal","R",261,"FrontoParietal","Area_IntraParietal_2_R"
"262","AIP_R2",33.5,-48.2,49.4,"Parietal","R",262,"DorsalAttn","Anterior_IntraParietal_Area_R"
"263","V4_R",31.7,-85.7,2.4,"Occipital","R",263,"Visual","Fourth_Visual_Area_R"
