code,name
(?i)\b(Chile)\b,Chile
(?i)^(?!.*Macao)^(?!.*Hong Kong)\b(China)\b,China
(?i)\b(Christmas\ Island)\b,Christmas Island
(?i)\b(Cocos\ \(Keeling\)\ Islands)\b,Cocos (Keeling) Islands
(?i)\b(Colombia)\b,Colombia
(?i)\b(Comoros)\b,Comoros
"(?i)^(?!.*Democratic)\b(congo\s*,?\s*brazzaville|republic\s+of\s+the\s+congo|congo(?=\b(?!.*kinshasa)))\b",Congo
"(?i)\b(congo\s*,?\s*\(?(kinshasa)\)?|democratic\s+republic\s+of\s+the\s+congo|drc|congo\s*\(.*kinshasa.*\))\b","Congo, The Democratic Republic of the"
(?i)\b(Cook\ Islands)\b,Cook Islands
(?i)\b(Costa\ Rica)\b,Costa Rica
(?i)\b(c(?:o(?:t(?:e|ê)|te)|ôte)\s+d[ʼ’‘']?ivoire|ivory\s+coast)\b,Côte d'Ivoire
(?i)\b(Croatia)\b,Croatia
(?i)\b(Cuba)\b,Cuba
(?i)\b(Curaçao)\b,Curaçao
(?i)\b(Cyprus)\b,Cyprus
(?i)\b(czech\s+republic|czechia)\b,Czech Republic
(?i)\b(Denmark)\b,Denmark
(?i)\b(Djibouti)\b,Djibouti
(?i)\b(Dominica)\b,Dominica
(?i)\b(Dominican\ Republic)\b,Dominican Republic
(?i)\b(Ecuador)\b,Ecuador
(?i)\b(Egypt)\b,Egypt
(?i)\b(El\ Salvador)\b,El Salvador
(?i)\b(Equatorial Guinea)\b,Equatorial Guinea
(?i)\b(Eritrea)\b,Eritrea
(?i)\b(Estonia)\b,Estonia
(?i)\b(Eswatini)\b,Eswatini
(?i)\b(Ethiopia)\b,Ethiopia
(?i)\b(Falkland\ Islands\ \(Malvinas\))\b,Falkland Islands (Malvinas)
(?i)\b(Faroe\ Islands)\b,Faroe Islands
(?i)\b(Fiji)\b,Fiji
(?i)\b(Finland)\b,Finland
(?i)\b(France)\b,France
(?i)\b(French\ Guiana)\b,French Guiana
(?i)\b(French\ Polynesia)\b,French Polynesia
(?i)\b(French\ Southern\ Territories)\b,French Southern Territories
(?i)\b(Gabon)\b,Gabon
(?i)\b(Gambia)\b,Gambia
(?i)\b(Georgia)\b,Georgia
(?i)\b(Germany)\b,Germany
(?i)\b(Ghana)\b,Ghana
(?i)\b(Gibraltar)\b,Gibraltar
(?i)\b(Greece)\b,Greece
(?i)\b(Greenland)\b,Greenland
(?i)\b(Grenada)\b,Grenada
(?i)\b(Guadeloupe)\b,Guadeloupe
(?i)\b(Guam)\b,Guam
(?i)\b(Guatemala)\b,Guatemala
(?i)\b(Guernsey)\b,Guernsey
(?i)^(?!.*Bissau)^(?!.*Equatorial)\b(Guinea)\b,Guinea
(?i)\b(Guinea\-Bissau)\b,Guinea-Bissau
(?i)\b(Guyana)\b,Guyana
(?i)\b(Haiti)\b,Haiti
(?i)\b(Heard\ Island\ and\ McDonald\ Islands)\b,Heard Island and McDonald Islands
(?i)\b(Holy\ See\ \(Vatican\ City\ State\))\b,Holy See (Vatican City State)
(?i)\b(Honduras)\b,Honduras
(?i)\b(Hong\ Kong)\b,Hong Kong
(?i)\b(Hungary)\b,Hungary
(?i)\b(Iceland)\b,Iceland
(?i)\b(India)\b,India
(?i)\b(Indonesia)\b,Indonesia
(?i)\b(Installations\ in\ International\ Waters)\b,Installations in International Waters
"(?i)\b(Iran,\ Islamic\ Republic\ of|iran)\b","Iran, Islamic Republic of"
(?i)\b(Iraq)\b,Iraq
(?i)\b(Ireland)\b,Ireland
(?i)\b(Isle\ of\ Man)\b,Isle of Man
(?i)\b(Israel)\b,Israel
(?i)\b(Italy)\b,Italy
(?i)\b(Jamaica)\b,Jamaica
(?i)\b(Japan)\b,Japan
(?i)\b(Jersey)\b,Jersey
(?i)\b(Jordan)\b,Jordan
(?i)\b(Kazakhstan)\b,Kazakhstan
(?i)\b(Kenya)\b,Kenya
(?i)\b(Kiribati)\b,Kiribati
"(?i)\b(?:Democratic People's Republic of Korea|Korea, Democratic People's Republic of|North Korea)\b","Korea, Democratic People's Republic of"
"(?i)^(?!.*Democratic)(?!.*People).*?(Republic of Korea|Korea, Republic of|South Korea)\b","Korea, Republic of"
(?i)\b(Kuwait)\b,Kuwait
(?i)\b(Kyrgyzstan)\b,Kyrgyzstan
(?i)\b(Lao\ People's\ Democratic\ Republic|laos)\b,Lao People's Democratic Republic
(?i)\b(Latvia)\b,Latvia
(?i)\b(Lebanon)\b,Lebanon
(?i)\b(Lesotho)\b,Lesotho
(?i)\b(Liberia)\b,Liberia
(?i)\b(Libya)\b,Libya
(?i)\b(Liechtenstein)\b,Liechtenstein
(?i)\b(Lithuania)\b,Lithuania
(?i)\b(Luxembourg)\b,Luxembourg
(?i)\b(Macao)\b,Macao
(?i)\b(Madagascar)\b,Madagascar
(?i)\b(Malawi)\b,Malawi
(?i)\b(Malaysia)\b,Malaysia
(?i)\b(Maldives)\b,Maldives
(?i)\b(Mali)\b,Mali
(?i)\b(Malta)\b,Malta
(?i)\b(Marshall\ Islands)\b,Marshall Islands
(?i)\b(Martinique)\b,Martinique
(?i)\b(Mauritania)\b,Mauritania
(?i)\b(Mauritius)\b,Mauritius
(?i)\b(Mayotte)\b,Mayotte
(?i)\b(Mexico)\b,Mexico
"(?i)\b(Micronesia,\ Federated\ States\ of|micronesia)\b","Micronesia, Federated States of"
"(?i)\b(Moldova,\ Republic\ of|moldova)\b","Moldova, Republic of"
(?i)\b(Monaco)\b,Monaco
(?i)\b(Mongolia)\b,Mongolia
(?i)\b(Montenegro)\b,Montenegro
(?i)\b(Montserrat)\b,Montserrat
(?i)\b(Morocco)\b,Morocco
(?i)\b(Mozambique)\b,Mozambique
(?i)\b(Myanmar|burma)\b,Myanmar
(?i)\b(Namibia)\b,Namibia
(?i)\b(Nauru)\b,Nauru
(?i)\b(Nepal)\b,Nepal
(?i)\b(Netherlands)\b,Netherlands
(?i)\b(New\ Caledonia)\b,New Caledonia
(?i)\b(New\ Zealand)\b,New Zealand
(?i)\b(Nicaragua)\b,Nicaragua
(?i)\b(Niger)\b,Niger
(?i)\b(Nigeria)\b,Nigeria
(?i)\b(Niue)\b,Niue
(?i)\b(Norfolk\ Island)\b,Norfolk Island
(?i)\b(North\ Macedonia)\b,North Macedonia
(?i)\b(Northern\ Mariana\ Islands)\b,Northern Mariana Islands
(?i)\b(Norway)\b,Norway
(?i)\b(Oman)\b,Oman
(?i)\b(Pakistan)\b,Pakistan
(?i)\b(Palau)\b,Palau
"(?i)\b(Palestine,\ State\ of|palestine)\b","Palestine, State of"
(?i)\b(Panama)\b,Panama
(?i)\b(Papua\ New\ Guinea)\b,Papua New Guinea
(?i)\b(Paraguay)\b,Paraguay
(?i)\b(Peru)\b,Peru
(?i)\b(Philippines)\b,Philippines
(?i)\b(Pitcairn)\b,Pitcairn
(?i)\b(Poland)\b,Poland
(?i)\b(Portugal)\b,Portugal
(?i)\b(Puerto\ Rico)\b,Puerto Rico
(?i)\b(Qatar)\b,Qatar
(?i)\b(Reunion)\b,Reunion
(?i)\b(Romania)\b,Romania
(?i)\b(Russian\ Federation|russia)\b,Russian Federation
(?i)\b(Rwanda)\b,Rwanda
(?i)\b(Saint\ Barthélemy)\b,Saint Barthélemy
"(?i)\b(Saint\ Helena,\ Ascension\ and\ Tristan\ Da\ Cunha)\b","Saint Helena, Ascension and Tristan Da Cunha"
(?i)\b(Saint\ Kitts\ and\ Nevis)\b,Saint Kitts and Nevis
(?i)\b(Saint\ Lucia)\b,Saint Lucia
(?i)\b(Saint\ Martin\ \(French\ Part\))\b,Saint Martin (French Part)
(?i)\b(Saint\ Pierre\ and\ Miquelon)\b,Saint Pierre and Miquelon
(?i)\b(Saint\ Vincent\ and\ the\ Grenadines)\b,Saint Vincent and the Grenadines
(?i)^(?!.*American)\b(Samoa)\b,Samoa
(?i)\b(San\ Marino)\b,San Marino
(?i)\b(Sao\ Tome\ and\ Principe)\b,Sao Tome and Principe
(?i)\b(Saudi\ Arabia)\b,Saudi Arabia
(?i)\b(Senegal)\b,Senegal
(?i)\b(Serbia)\b,Serbia
(?i)\b(Seychelles)\b,Seychelles
(?i)\b(Sierra\ Leone)\b,Sierra Leone
(?i)\b(Singapore)\b,Singapore
(?i)\b(Sint\ Maarten\ \(Dutch\ Part\))\b,Sint Maarten (Dutch Part)
(?i)\b(Slovakia)\b,Slovakia
(?i)\b(Slovenia)\b,Slovenia
(?i)\b(Solomon\ Islands)\b,Solomon Islands
(?i)\b(Somalia)\b,Somalia
(?i)\b(South\ Africa)\b,South Africa
(?i)\b(South\ Georgia\ and\ the\ South\ Sandwich\ Islands)\b,South Georgia and the South Sandwich Islands
(?i)\b(South\ Sudan)\b,South Sudan
(?i)\b(Spain)\b,Spain
(?i)\b(Sri\ Lanka)\b,Sri Lanka
(?i)^(?!.*South)\b(Sudan)\b,Sudan
(?i)\b(Suriname)\b,Suriname
(?i)\b(Svalbard\ and\ Jan\ Mayen)\b,Svalbard and Jan Mayen
(?i)\b(Sweden)\b,Sweden
(?i)\b(Switzerland)\b,Switzerland
(?i)\b(Syrian\ Arab\ Republic|syria)\b,Syrian Arab Republic
"(?i)\b(Taiwan,\ Province\ of\ China)\b","Taiwan, Province of China"
(?i)\b(Tajikistan)\b,Tajikistan
"(?i)\b(Tanzania,\ United\ Republic\ of|tanzania)\b","Tanzania, United Republic of"
(?i)\b(Thailand)\b,Thailand
(?i)\b(Timor\-Leste|east\ timor)\b,Timor-Leste
(?i)\b(Togo)\b,Togo
(?i)\b(Tokelau)\b,Tokelau
(?i)\b(Tonga)\b,Tonga
(?i)\b(Trinidad\ and\ Tobago)\b,Trinidad and Tobago
(?i)\b(Tunisia)\b,Tunisia
(?i)\b(Türkiye|turkey)\b,Türkiye
(?i)\b(Turkmenistan)\b,Turkmenistan
(?i)\b(Turks\ and\ Caicos\ Islands)\b,Turks and Caicos Islands
(?i)\b(Tuvalu)\b,Tuvalu
(?i)\b(Uganda)\b,Uganda
(?i)\b(Ukraine)\b,Ukraine
(?i)\b(United\ Arab\ Emirates)\b,United Arab Emirates
(?i)\b(United\ Kingdom|uk|britain|great\ britain)\b,United Kingdom
(?i)\b(United\ States|usa|us|america)\b,United States
(?i)\b(United\ States\ Minor\ Outlying\ Islands)\b,United States Minor Outlying Islands
(?i)\b(Uruguay)\b,Uruguay
(?i)\b(Uzbekistan)\b,Uzbekistan
(?i)\b(Vanuatu)\b,Vanuatu
(?i)\b(Venezuela|venezuela)\b,Venezuela
(?i)\b(Viet\ Nam|vietnam)\b,Viet Nam
"(?i)\b(Virgin\ Islands,\ British)\b","Virgin Islands, British"
"(?i)\b(Virgin\ Islands,\ U\.S\.)\b","Virgin Islands, U.S."
(?i)\b(Wallis\ and\ Futuna)\b,Wallis and Futuna
(?i)\b(Western\ Sahara)\b,Western Sahara
(?i)\b(Yemen)\b,Yemen
(?i)\b(Zambia)\b,Zambia
(?i)\b(Zimbabwe)\b,Zimbabwe
(?i)\b(Kosovo)\b,Kosovo
(?i)\b(Bouvez\ Island\ \(Dependency\ of\ Norway\))\b,Bouvez Island (Dependency of Norway)
