"","name","x.mni","y.mni","z.mni","lobe","hemi","index","name.full"
"47","rFUS",33,-52,-19,"Temporal","R",47,"R fusiform"
"48","rIPL",48,-67,29,"Parietal","R",48,"R inferior parietal lobule"
"49","rITG",61,-31,-27,"Temporal","R",49,"R inferior temporal gyrus"
"50","riCC",1,-48,26,"Cingulate","R",50,"R isthmus cingulate cortex"
"51","rLOG",38,-88,1,"Occipital","R",51,"R lateral occipital gyrus"
"52","rLOF",20,38,-21,"Frontal","R",52,"R lateral orbitofrontal"
"53","rLING",5,-69,-1,"Occipital","R",53,"R lingual"
"54","rMOF",7,45,-13,"Frontal","R",54,"R medial orbitofrontal"
"55","rMTG",69,-24,-14,"Temporal","R",55,"R middle temporal gyrus"
"56","rPARH",20,-29,-17,"Temporal","R",56,"R parahippocampal"
"57","rparaC",4,-25,61,"Frontal","R",57,"R paracentral"
"58","rpOPER",57,15,17,"Frontal","R",58,"R pars opercularis"
"59","rpORB",49,40,-13,"Frontal","R",59,"R pars orbitalis"
"60","rpTRI",55,31,5,"Frontal","R",60,"R pars triangularis"
"61","rperiCAL",14,-85,5,"Occipital","R",61,"R pericalcarine"
"62","rpostC",51,-23,56,"Parietal","R",62,"R postcentral"
"63","rPCC",1,-16,37,"Cingulate","R",63,"R posterior cingulate cortex"
"64","rpreC",47,-9,54,"Frontal","R",64,"R precentral"
"65","rPCUN",7,-57,41,"Parietal","R",65,"R precuneus"
"66","rrACC",4,38,4,"Cingulate","R",66,"R rostral anterior cingulate cortex"
"67","rrMFG",43,45,21,"Frontal","R",67,"R rostral middle frontal gyrus"
"68","rSFG",16,34,53,"Frontal","R",68,"R superior frontal gyrus"
"69","rSPL",17,-65,59,"Parietal","R",69,"R superior parietal lobule"
"70","rSTG",67,-12,-1,"Temporal","R",70,"R superior temporal gyrus"
"71","rSMAR",65,-36,35,"Parietal","R",71,"R supramarginal gyrus"
"72","rFP",9,64,-13,"Frontal","R",72,"R frontal pole"
"73","rTP",37,21,-38,"Temporal","R",73,"R temporal pole"
"74","rTT",45,-25,11,"Temporal","R",74,"R transverse temporal"
"75","rINS",43,12,-6,"Insula","R",75,"R insula"
"76","rTHAL",11,-17,6,"SCGM","R",76,"R thalamus"
"77","rPUT",30,-3,1,"SCGM","R",77,"R putamen"
"78","rPALL",22,-4,-1,"SCGM","R",78,"R pallidum"
"79","rCAUD",15,10,9,"SCGM","R",79,"R caudate"
"80","rHIPP",30,-21,-13,"SCGM","R",80,"R hippocampus"
"81","rAMYG",23,-8,-15,"SCGM","R",81,"R amygdala"
"82","rACCU",9,10,-8,"SCGM","R",82,"R nucleus accumbens"
