"","name","x.mni","y.mni","z.mni","lobe","hemi","index","name.full"
"56","lANG.2",-51.8911,-50.2426,40.9455,"Parietal","L",56,"Angular G"
"57","lFOG.1",-27.3453,31.1439,-16.1223,"Frontal","L",57,"Frontal Orbital G"
"58","rPRECU.3",1.65,-52.5625,14.3125,"Parietal","R",58,"Precuneus"
"59","rINS.2",36.5865,17.3459,2.5038,"Insula","R",59,"Insula"
"60","rpostC.2",43.3626,-20.1298,52.6031,"Parietal","R",60,"Postcentral G"
"61","lMFG.2",-38.8519,20.4074,41.3889,"Frontal","L",61,"Middle frontal G"
"62","rFUS.1",33.9028,-31.4583,-17.4028,"Temporal","R",62,"Fusiform"
"63","lFUS.1",-43.6773,-51.9545,-19.1318,"Temporal","L",63,"Fusiform"
"64","rMFG.3",28.5421,-0.53271,55.7664,"Frontal","R",64,"Middle frontal G"
"65","rSPL.2",12.381,-45.0833,67,"Parietal","R",65,"Superior Parietal Lobule"
"66","rSTG.1",61.3333,-17.4583,11.6146,"Temporal","R",66,"Superior temporal G"
"67","lPUT",-27.9025,1.1822,2.6949,"SCGM","L",67,"Putamen"
"68","rMIDB.1",1.2324,-20.5519,-8.5768,"Brainstem","Brainstem",68,"Midbrain"
"69","rMTG.3",59.7253,-44.4725,9.7033,"Temporal","R",69,"Middle temporal G"
"70","lLING.1",-11.3445,-69.7941,5.3445,"Occipital","L",70,"Lingual G"
"71","rFOG.2",29.135,24.8282,-16.0675,"Frontal","R",71,"Frontal Orbital G"
"72","lMTG.2",-56.4952,-15.4615,-16.9038,"Temporal","L",72,"Middle temporal G"
"73","lpreC.2",-43.0669,0.85356,46.7448,"Frontal","L",73,"Precentral"
"74","lFOG.2",-44.0103,33.2629,-9.3866,"Frontal","L",74,"Frontal Orbital G"
"75","rFP.2",31.9891,54.8967,13.5,"Frontal","R",75,"Frontal pole"
"76","lPCC",-7.709,-33.5164,44.9877,"Cingulate","L",76,"Posterior Cingulate"
"77","rCEREB.3",17.1743,-80.3257,-29.2294,"Cerebellum","R",77,"Cerebellum"
"78","lTP.2",-40.575,12.7125,-28.6687,"Temporal","L",78,"Temporal pole"
"79","lACC.3",-0.15126,-0.22689,41.2185,"Cingulate","L",79,"Anterior cingulate"
"80","lCEREB.3",-36.5245,-70.9091,-32.958,"Cerebellum","L",80,"Cerebellum"
"81","rCUN",13.3003,-77.6519,37.9659,"Occipital","R",81,"Cuneus"
"82","lANG.3",-43.0556,-67.1528,38.875,"Parietal","L",82,"Angular G"
"83","rSTG.2",47.6068,7.5874,-10.7184,"Temporal","R",83,"Superior temporal G"
"84","lCAUD.2",-12.4679,5.4771,12.2752,"SCGM","L",84,"Caudate"
"85","rIOG.2",46.6901,-73.7606,14.6761,"Occipital","R",85,"Inferior Occipital G"
"86","rBSTEM.2",8.4,-44.6182,-37.8545,"Brainstem","Brainstem",86,"Brainstem"
"87","rFUS.2",37.7021,-12.7447,-27.0426,"Temporal","R",87,"Fusiform"
"88","lpostC.3",-57.4912,-8.5439,24.8421,"Parietal","L",88,"Postcentral G"
"89","rLING.1",8.0657,-73.8,5.0314,"Occipital","R",89,"Lingual G"
"90","lpreC.3",-17.8884,-16.1302,68.6651,"Frontal","L",90,"Precentral"
"91","rMEDFG.2",0.92537,51.7612,25.597,"Frontal","R",91,"Medial Frontal G"
"92","lAMY",-18.5455,-7.4727,-16.7455,"SCGM","L",92,"Amygdala"
"93","rSUPRAM",40.9732,-42.9463,47.7785,"Parietal","R",93,"Supramarginal G"
"94","rCAUD.1",14.5385,-0.49451,17.2747,"SCGM","R",94,"Caudate"
"95","lSFG.2",-26.2885,12.0593,55.2569,"Frontal","L",95,"Superior frontal G"
"96","lpostC.4",-29.1972,-36.0423,61.2113,"Parietal","L",96,"Postcentral G"
"97","lSOG.1",-33.7949,-81.5,25.141,"Occipital","L",97,"Superior Occipital G"
"98","rpreC.2",60.3043,-1.3623,24.7681,"Frontal","R",98,"Precentral"
"99","lITG.1",-57.9,-48.3,-9.4,"Temporal","L",99,"Inferior Temporal G"
"100","rITG",48.1579,-52.6692,-17.3459,"Temporal","R",100,"Inferior Temporal G"
"101","lITG.2",-51.4756,-4.0244,-29.0305,"Temporal","L",101,"Inferior Temporal G"
"102","rIOG.3",35.747,-87.0542,9.0542,"Occipital","R",102,"Inferior Occipital G"
"103","lCEREB.4",-29,-40.0357,-31.4107,"Cerebellum","L",103,"Cerebellum"
"104","lFP.2",-9.3018,62.2189,12.6923,"Frontal","L",104,"Frontal pole"
"105","rLING.2",18.15,-55.6179,2.4321,"Occipital","R",105,"Lingual G"
"106","rMFG.4",28.4235,34.5459,40.8827,"Frontal","R",106,"Middle frontal G"
"107","rMTG.4",55.2267,-28.3846,-1.0081,"Temporal","R",107,"Middle temporal G"
"108","lLING.2",-6.786,-93.3653,0.8524,"Occipital","L",108,"Lingual G"
"109","rFP.3",1.5346,56.0461,-8.5438,"Frontal","R",109,"Frontal pole"
"110","rTP.2",31.0571,6.2143,-19.6286,"Temporal","R",110,"Temporal pole"
"111","rpreC.3",2.0508,-23.6484,66.9609,"Frontal","R",111,"Precentral"
"112","lFOG.3",-28.7281,12.2627,-17.5576,"Frontal","L",112,"Frontal Orbital G"
"113","rMFG.5",42.9206,49.0476,-6.1587,"Frontal","R",113,"Middle frontal G"
"114","lSOG.2",-25.6678,-73.8102,39.7831,"Occipital","L",114,"Superior Occipital G"
"115","rpreC.4",44.305,1.3668,48.7181,"Frontal","R",115,"Precentral"
"116","lpostC.5",-55.9565,-28.7446,36.4239,"Parietal","L",116,"Postcentral G"
"117","lMTG.3",-56.7422,-48.1523,7.9336,"Temporal","L",117,"Middle temporal G"
"118","rCEREB.4",21.1004,-58.9182,-26.4535,"Cerebellum","R",118,"Cerebellum"
"119","rIFG.1",55.9154,4.2231,4.8923,"Frontal","R",119,"Inferior Frontal G"
"120","lCEREB.5",-17.6786,-81.2619,-31.5833,"Cerebellum","L",120,"Cerebellum"
"121","lINS.3",-39.7018,-13.7339,11.6147,"Insula","L",121,"Insula"
"122","lPARAH.2",-27.4397,-38.3276,-12.0517,"Temporal","L",122,"Parahippocampal G"
"123","rparaC",0.46084,-15.2169,51.1084,"Frontal","R",123,"Paracentral lobule"
"124","rFP.4",27.8155,44.2136,-15.2039,"Frontal","R",124,"Frontal pole"
"125","lMFG.3",-30.1061,38.0152,32.6515,"Frontal","L",125,"Middle frontal G"
"126","rCEREB.5",35.4298,-72.781,-31.6116,"Cerebellum","R",126,"Cerebellum"
"127","rMFG.6",30.7464,17.8995,51.5024,"Frontal","R",127,"Middle frontal G"
"128","rIPG",61.3322,-31.6888,25.4895,"Parietal","R",128,"Inferior Parietal G"
"129","lSTG.2",-44.1696,-0.89732,-15.4955,"Temporal","L",129,"Superior temporal G"
"130","rMIDB.2",0.59694,-3.5204,-9.8724,"Brainstem","Brainstem",130,"Midbrain"
"131","lIOG.3",-25.4521,-92.7766,11.6489,"Occipital","L",131,"Inferior Occipital G"
"132","rSPG",29.7379,-67.8495,46.3107,"Parietal","R",132,"Superior Parietal G"
"133","lSFG.3",-9.0558,46.5628,38.9442,"Frontal","L",133,"Superior frontal G"
"134","rpreC.5",24.2368,-13.5,66.9158,"Frontal","R",134,"Precentral"
"135","rCAUD.2",15.5143,14.1857,6.5357,"SCGM","R",135,"Caudate"
"136","lSOG.3",-14.4,-65.9609,55.0565,"Occipital","L",136,"Superior Occipital G"
"137","rINS.3",40.6017,-10.7415,-5.3771,"Insula","R",137,"Insula"
"138","rFUS.3",22.0874,-69.4466,-12.3204,"Temporal","R",138,"Fusiform"
"139","rFP.5",10.4185,62.8533,8.837,"Frontal","R",139,"Frontal pole"
"140","rMTG.5",55.1732,-4.0223,-27.0838,"Temporal","R",140,"Middle temporal G"
"141","lIFG.1",-49.3417,22.7789,8.6683,"Frontal","L",141,"Inferior Frontal G"
"142","rMOG",18.3708,-89.3933,21.691,"Occipital","R",142,"Middle Occipital G"
"143","rIOG.4",53.2326,-61.5,0.4186,"Occipital","R",143,"Inferior Occipital G"
"144","rIFG.2",52.1935,27.5161,3.871,"Frontal","R",144,"Inferior Frontal G"
"145","lPARAH.3",-31.6047,-21.3663,-18.9419,"Temporal","L",145,"Parahippocampal G"
"146","lSTG.3",-56.2163,-10.5918,3.5878,"Temporal","L",146,"Superior temporal G"
"147","lPRECU.2",-7.6996,-74.7554,39.8627,"Parietal","L",147,"Precuneus"
"148","rTHAL.2",1.5549,-4.3354,4.4634,"SCGM","R",148,"Thalamus"
"149","lMEDFG.1",-0.1336,30.9231,44.7935,"Frontal","L",149,"Medial Frontal G"
"150","lIOG.4",-46.5215,-71.555,10.9091,"Occipital","L",150,"Inferior Occipital G"
"151","lMFG.4",-44.3033,26.1754,25.3791,"Frontal","L",151,"Middle frontal G"
"152","rCEREB.6",1.4477,-56.8713,-13.3834,"Cerebellum","R",152,"Cerebellum"
"153","rSTG.3",58.4625,-7.625,-9.2,"Temporal","R",153,"Superior temporal G"
"154","lpostC.6",-51.6283,-14.1518,39.3298,"Parietal","L",154,"Postcentral G"
"155","rPARAH.2",21.3708,-11.8764,-17.382,"Temporal","R",155,"Parahippocampal G"
"156","lSPL.1",-34,-53.8701,49.2857,"Parietal","L",156,"Superior Parietal Lobule"
"157","rpostC.3",54.3982,-12.146,38.1504,"Parietal","R",157,"Postcentral G"
"158","lOP",-21.0533,-92.16,-13.0533,"Occipital","L",158,"Occipital pole"
"159","lFUS.2",-36.2174,-77.942,-16.029,"Temporal","L",159,"Fusiform"
"160","rACC.4",0.42568,21.2838,-8.5338,"Cingulate","R",160,"Anterior cingulate"
"161","rSFG.1",10.8106,1.5463,65.6828,"Frontal","R",161,"Superior frontal G"
"162","lCEREB.6",-8.9874,-44.1429,-25.6008,"Cerebellum","L",162,"Cerebellum"
"163","rPRECU.4",10.1842,-63.2143,55.2857,"Parietal","R",163,"Precuneus"
"164","rIFG.3",51.9038,20.6109,20.3724,"Frontal","R",164,"Inferior Frontal G"
"165","lpreC.4",-53.6292,7.3483,16.6348,"Frontal","L",165,"Precentral"
"166","rANG.3",45.1786,-65.5,38.3095,"Parietal","R",166,"Angular G"
"167","lIFG.2",-25.2439,52.1268,22.1122,"Frontal","L",167,"Inferior Frontal G"
"168","rMFG.7",32.5049,44.7524,27.2767,"Frontal","R",168,"Middle frontal G"
"169","lIFG.3",-40.8649,48.6216,-4.3243,"Frontal","L",169,"Inferior Frontal G"
"170","rSOG",33.1216,-77.9054,29.9189,"Occipital","R",170,"Superior Occipital G"
"171","lSPL.2",-42.4104,-37.9953,47.434,"Parietal","L",171,"Superior Parietal Lobule"
"172","rFUS.4",27.9958,-49.1975,-13.8151,"Temporal","R",172,"Fusiform"
"173","lSFG.4",-8.3651,20,58.746,"Frontal","L",173,"Superior frontal G"
"174","lPRECU.3",-0.80508,-55.178,37.7966,"Parietal","L",174,"Precuneus"
"175","rIOG.5",31.117,-87.766,-11.2979,"Occipital","R",175,"Inferior Occipital cortex"
"176","rCEREB.7",1.0645,-63.1573,-35.0444,"Cerebellum","R",176,"Cerebellum"
"177","lLING.3",-14.1691,-74.2338,-10.9317,"Occipital","L",177,"Lingual G"
"178","rPUT.2",27.098,0.85714,-0.39184,"SCGM","R",178,"Putamen"
"179","lLING.4",-13.249,-52.9102,-1.2612,"Occipital","L",179,"Lingual G"
"180","rpostC.4",56.0047,-29.3033,43.1517,"Parietal","R",180,"Postcentral G"
"181","rTP.3",45.2055,13.2534,-25.3151,"Temporal","R",181,"Temporal pole"
"182","lSMA",-8.4181,0.89224,65.5603,"Frontal","L",182,"Supplementary motor cortex"
"183","lFP.3",-27.9034,56.8295,3.8864,"Frontal","L",183,"Frontal pole"
"184","lINS.4",-46.514,5.1308,1.3738,"Insula","L",184,"Insula"
"185","rTTG",44.4464,-24.6567,15.4378,"Temporal","R",185,"Transverse Temporal G"
"186","rSFG.2",12.3034,42.8933,44.6629,"Frontal","R",186,"Superior frontal G"
"187","rSFG.3",13.5606,21.9697,58.0303,"Frontal","R",187,"Superior frontal G"
"188","lSPL.3",-18.0798,-52.6277,64.7872,"Parietal","L",188,"Superior Parietal Lobule"
"189","lFUS.3",-27.049,-58.0653,-14.4612,"Temporal","L",189,"Fusiform"
"190","rBSTEM.3",16.1279,-33.8721,-22.5349,"Brainstem","Brainstem",190,"Brainstem"
"191","lSFG.5",-21.5519,29.8868,46.3019,"Frontal","L",191,"Superior frontal G"
"192","lCEREB.7",-0.54185,-77.6432,-24.1586,"Cerebellum","L",192,"Cerebellum"
"193","rSFG.4",14.9038,56.4615,28.3269,"Frontal","R",193,"Superior frontal G"
"194","rMIDB.3",1.0263,-31.3263,-18.1737,"Brainstem","Brainstem",194,"Midbrain"
"195","rLING.3",8.2934,-87.0372,-13.4504,"Occipital","R",195,"Lingual G"
"196","lINS.5",-46.4262,14.2295,-12.3934,"Insula","L",196,"Insula"
"197","lPRECU.4",-4.1803,-52.377,57.0246,"Parietal","L",197,"Precuneus"
"198","rFUS.5",30.9091,-1.5455,-37.3091,"Temporal","R",198,"Fusiform"
"199","lBSTEM.2",-15.1885,-30.5026,-19.9476,"Brainstem","L",199,"Brainstem"
"200","lTTG",-42.1239,-31.5,14.5459,"Temporal","L",200,"Transverse Temporal G"
